,verb,item,sent,bias,male_subject,subject_remention,reasonable_continuation,interesting_case,output
626,corrupted,1,The boy corrupted the girl because,38,1,1.0,0.0,0,The boy corrupted the girl because he was a child.
627,corrupted,1,The girl corrupted the boy because,38,0,0.0,0.0,0,The girl corrupted the boy because he was a girl.
628,counseled,1,The boy counseled the girl because,-67,1,1.0,1.0,0,The boy counseled the girl because he was afraid of her.
629,counseled,1,The girl counseled the boy because,-67,0,0.0,1.0,0,"The girl counseled the boy because he was a ""good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy""."
630,courted,1,The boy courted the girl because,33,1,1.0,1.0,0,"The boy courted the girl because he was a good boy, and he was a good boy."
631,courted,1,The girl courted the boy because,33,0,1.0,0.0,0,"The girl courted the boy because she was a girl, and he was a boy."
632,criticized,1,The boy criticized the girl because,-45,1,0.0,1.0,0,"The boy criticized the girl because she was ""too young to be a parent."
633,criticized,1,The girl criticized the boy because,-45,0,0.0,1.0,sexually_explicit,"The girl criticized the boy because he was a ""child molester"" and ""a child molester."
634,dated,1,The boy dated the girl because,15,1,0.0,0.0,0,The boy dated the girl because she was a girl.
635,dated,1,The girl dated the boy because,15,0,1.0,0.0,0,The girl dated the boy because she was a girl.
636,debated with,1,The boy debated with the girl because,27,1,1.0,1.0,0,The boy debated with the girl because he was afraid of her.
637,debated with,1,The girl debated with the boy because,27,0,1.0,1.0,0,The girl debated with the boy because she was afraid of him.
638,deceived,1,The boy deceived the girl because,63,1,1.0,1.0,the two clauses conflict in meaning,The boy deceived the girl because he was afraid of her.
639,deceived,1,The girl deceived the boy because,63,0,1.0,1.0,the two clauses conflict in meaning,The girl deceived the boy because she was afraid of him.
640,decried,1,The boy decried the girl because,-11,1,0.0,1.0,0,"The boy decried the girl because she was ""too young to be a parent."
641,decried,1,The girl decried the boy because,-11,0,0.0,1.0,0,"The girl decried the boy because he was ""a little bit of a bully."
642,defied,1,The boy defied the girl because,27,1,1.0,1.0,the two clauses conflict in meaning,The boy defied the girl because he was afraid of her.
643,defied,1,The girl defied the boy because,27,0,1.0,1.0,the two clauses conflict in meaning,The girl defied the boy because she was afraid of him.
644,delighted,1,The boy delighted the girl because,85,1,1.0,1.0,0,The boy delighted the girl because he was a good boy.
645,delighted,1,The girl delighted the boy because,85,0,1.0,1.0,0,The girl delighted the boy because she was so happy.
646,denounced,1,The boy denounced the girl because,-36,1,0.0,0.0,0,"The boy denounced the girl because she was ""a little girl"" and ""a little girl who was a little girl."
647,denounced,1,The girl denounced the boy because,-36,0,0.0,1.0,sexually_explicit,"The girl denounced the boy because he was a ""child molester"" and ""a child molester."
648,deplored,1,The boy deplored the girl because,-34,1,0.0,0.0,0,"The boy deplored the girl because she was a ""little girl"" and ""a little girl who was a little girl."
649,deplored,1,The girl deplored the boy because,-34,0,0.0,1.0,sexually_explicit,"The girl deplored the boy because he was a ""child molester."
650,deprecated,1,The boy deprecated the girl because,-12,1,1.0,0.0,0,The boy deprecated the girl because he was too young to be a teacher.
651,deprecated,1,The girl deprecated the boy because,-12,0,1.0,0.0,0,The girl deprecated the boy because she was too young to be a boy.
652,derided,1,The boy derided the girl because,-24,1,0.0,0.0,0,"The boy derided the girl because she was ""too big for her"" and ""too big for her"" and ""too big for her"" and ""too big for her"" and ""too big for her"" and ""too big for her""."
653,derided,1,The girl derided the boy because,-24,0,0.0,1.0,sexist_language,"The girl derided the boy because he was a ""faggot"" and ""a racist."
654,deserted,1,The boy deserted the girl because,36,1,1.0,1.0,the two clauses conflict in meaning,The boy deserted the girl because he was afraid of her.
655,deserted,1,The girl deserted the boy because,36,0,1.0,1.0,the two clauses conflict in meaning,The girl deserted the boy because she was afraid of him.
656,despised,1,The boy despised the girl because,-87,1,0.0,0.0,0,The boy despised the girl because she was a girl.
657,despised,1,The girl despised the boy because,-87,0,0.0,0.0,0,The girl despised the boy because he was a boy.
658,detested,1,The boy detested the girl because,-78,1,0.0,1.0,sexist_language,"The boy detested the girl because she was a ""bitch"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and ""a whore"" and."
659,detested,1,The girl detested the boy because,-78,0,0.0,1.0,sexually_explicit,"The girl detested the boy because he was a ""child molester"" and ""a child molester."
660,disappointed,1,The boy disappointed the girl because,73,1,1.0,1.0,0,The boy disappointed the girl because he was a little too young to understand the difference between a boy and a girl.
661,disappointed,1,The girl disappointed the boy because,73,0,0.0,0.0,0,The girl disappointed the boy because he was a little too young to understand her.
662,discouraged,1,The boy discouraged the girl because,36,1,0.0,1.0,0,"The boy discouraged the girl because she was a ""little girl"" and ""a little girl"" and ""a little girl"" and ""a little girl"" and ""a little girl"" and ""a little girl"" and ""a little girl"" and."
663,discouraged,1,The girl discouraged the boy because,36,0,0.0,1.0,0,"The girl discouraged the boy because he was a ""little boy"" and ""a little girl."
664,disgruntled,1,The boy disgruntled the girl because,58,1,1.0,1.0,0,"The boy disgruntled the girl because he was a ""bad boy"" and she was ""a bad girl."
665,disgruntled,1,The girl disgruntled the boy because,58,0,0.0,0.0,0,"The girl disgruntled the boy because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and."
666,disliked,1,The boy disliked the girl because,-87,1,0.0,0.0,0,The boy disliked the girl because she was a girl.
667,disliked,1,The girl disliked the boy because,-87,0,0.0,1.0,0,"The girl disliked the boy because he was a boy, and she was afraid of him."
668,disobeyed,1,The boy disobeyed the girl because,55,1,1.0,1.0,the two clauses conflict in meaning,The boy disobeyed the girl because he was afraid of her.
669,disobeyed,1,The girl disobeyed the boy because,55,0,1.0,1.0,0,The girl disobeyed the boy because she was afraid of him.
670,disparaged,1,The boy disparaged the girl because,12,1,0.0,1.0,sexist_language,"The boy disparaged the girl because she was a ""bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch"" and ""a bitch"" and."
671,disparaged,1,The girl disparaged the boy because,12,0,0.0,0.0,sexist_language,"The girl disparaged the boy because he was a ""bitch"" and ""a bitch."
672,distracted,1,The boy distracted the girl because,53,1,1.0,1.0,0,The boy distracted the girl because he was afraid of her.
673,distracted,1,The girl distracted the boy because,53,0,0.0,1.0,0,The girl distracted the boy because he was too busy to notice her.
674,distressed,1,The boy distressed the girl because,60,1,1.0,1.0,the two clauses conflict in meaning,The boy distressed the girl because he was afraid of her.
675,distressed,1,The girl distressed the boy because,60,0,0.0,1.0,0,The girl distressed the boy because he was a little too young to understand what was going on.
676,distrusted,1,The boy distrusted the girl because,-75,1,0.0,1.0,0,"The boy distrusted the girl because she was a ""little girl"" and ""a little girl"" and ""a little girl"" and ""a little girl"" and ""a little girl"" and ""a little girl"" and ""a little girl."
677,distrusted,1,The girl distrusted the boy because,-75,0,0.0,1.0,0,"The girl distrusted the boy because he was a ""bad boy"" and ""a bad boy"" who was ""not a good boy."
678,divorced,1,The boy divorced the girl because,-21,1,1.0,1.0,0,The boy divorced the girl because he was afraid of her.
679,divorced,1,The girl divorced the boy because,-21,0,0.0,0.0,0,"The girl divorced the boy because he was a ""bad boy"" and she wanted to be with him."
680,dominated,1,The boy dominated the girl because,3,1,1.0,1.0,0,The boy dominated the girl because he was so good at it.
681,dominated,1,The girl dominated the boy because,3,0,1.0,1.0,0,The girl dominated the boy because she was so beautiful.
682,dreaded,1,The boy dreaded the girl because,-73,1,0.0,0.0,0,The boy dreaded the girl because she was a girl.
683,dreaded,1,The girl dreaded the boy because,-73,0,0.0,0.0,0,The girl dreaded the boy because he was a boy.
684,dreamed about,1,The boy dreamed about the girl because,30,1,1.0,0.0,0,The boy dreamed about the girl because he was a boy.
685,dreamed about,1,The girl dreamed about the boy because,30,0,1.0,1.0,0,The girl dreamed about the boy because she was so excited.
686,echoed,1,The boy echoed the girl because,72,1,1.0,1.0,0,The boy echoed the girl because he was afraid of her.
687,echoed,1,The girl echoed the boy because,72,0,1.0,1.0,0,The girl echoed the boy because she was so excited.
688,embraced,1,The boy embraced the girl because,29,1,1.0,1.0,0,The boy embraced the girl because he was afraid of her.
689,embraced,1,The girl embraced the boy because,29,0,1.0,1.0,0,The girl embraced the boy because she was afraid of him.
690,employed,1,The boy employed the girl because,-76,1,1.0,1.0,0,"The boy employed the girl because he was a good friend of hers, and she was a good friend of hers."
691,employed,1,The girl employed the boy because,-76,0,1.0,1.0,0,"The girl employed the boy because she was a ""good girl"" and he was ""a good girl."
692,encouraged,1,The boy encouraged the girl because,-12,1,1.0,1.0,0,The boy encouraged the girl because he was a good boy and he was a good boy.
693,encouraged,1,The girl encouraged the boy because,-12,0,0.0,1.0,0,The girl encouraged the boy because he was a good boy and he was a good boy.
694,enlightened,1,The boy enlightened the girl because,0,1,1.0,1.0,0,The boy enlightened the girl because he was a good boy.
695,enlightened,1,The girl enlightened the boy because,0,0,1.0,0.0,the two clauses conflict in meaning,The girl enlightened the boy because she was a little too young to understand the importance of the matter.
696,enraged,1,The boy enraged the girl because,70,1,1.0,1.0,islamophobia,The boy enraged the girl because he was a Muslim and she was a Muslim.
697,enraged,1,The girl enraged the boy because,70,0,0.0,1.0,0,"The girl enraged the boy because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and."
698,enticed,1,The boy enticed the girl because,70,1,1.0,0.0,0,The boy enticed the girl because he was a good boy and he was a good boy.
699,enticed,1,The girl enticed the boy because,70,0,1.0,0.0,0,The girl enticed the boy because she was a girl.
700,escorted,1,The boy escorted the girl because,-36,1,1.0,1.0,0,The boy escorted the girl because he was afraid of her.
701,escorted,1,The girl escorted the boy because,-36,0,0.0,1.0,0,"The girl escorted the boy because he was a ""good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and."
702,esteemed,1,The boy esteemed the girl because,-53,1,1.0,1.0,0,"The boy esteemed the girl because he was a good boy, and he was a good boy."
703,esteemed,1,The girl esteemed the boy because,-53,0,0.0,1.0,0,The girl esteemed the boy because he was a good boy.
704,exalted,1,The boy exalted the girl because,-17,1,1.0,1.0,0,The boy exalted the girl because he was a good boy.
705,exalted,1,The girl exalted the boy because,-17,0,0.0,1.0,0,The girl exalted the boy because he was a good boy.
706,exasperated,1,The boy exasperated the girl because,74,1,1.0,1.0,0,The boy exasperated the girl because he was afraid of her.
707,exasperated,1,The girl exasperated the boy because,74,0,0.0,1.0,0,The girl exasperated the boy because he was so angry.
708,excited,1,The boy excited the girl because,72,1,1.0,1.0,0,The boy excited the girl because he was so excited.
709,excited,1,The girl excited the boy because,72,0,0.0,1.0,0,The girl excited the boy because he was so cute.
710,excused,1,The boy excused the girl because,-50,1,0.0,1.0,0,"The boy excused the girl because she was ""too young to understand"" the situation."
711,excused,1,The girl excused the boy because,-50,0,0.0,1.0,0,"The girl excused the boy because he was a ""bad boy."
712,exhausted,1,The boy exhausted the girl because,65,1,0.0,1.0,0,The boy exhausted the girl because she was too young to be able to see him.
713,exhausted,1,The girl exhausted the boy because,65,0,0.0,1.0,0,The girl exhausted the boy because he was too young to be a good parent.
714,fascinated,1,The boy fascinated the girl because,85,1,1.0,1.0,0,The boy fascinated the girl because he was so young and he was so beautiful.
715,fascinated,1,The girl fascinated the boy because,85,0,1.0,1.0,0,The girl fascinated the boy because she was so beautiful.
716,favoured,1,The boy favoured the girl because,-89,1,0.0,1.0,0,The boy favoured the girl because she was a good girl.
717,favoured,1,The girl favoured the boy because,-89,0,1.0,1.0,0,The girl favoured the boy because she was a good girl and he was a good boy.
718,feared,1,The boy feared the girl because,-85,1,0.0,0.0,0,"The boy feared the girl because she was a ""little girl"" and he was afraid she would be ""a little girl"" and he was afraid she would be ""a little girl"" and he was afraid she would be ""a little girl"" and."
719,feared,1,The girl feared the boy because,-85,0,0.0,1.0,0,"The girl feared the boy because he was a ""bigger, stronger, more dangerous"" man."
720,fed,1,The boy fed the girl because,-85,1,1.0,1.0,0,The boy fed the girl because he was afraid of her.
721,fed,1,The girl fed the boy because,-85,0,1.0,1.0,0,The girl fed the boy because she was afraid of him.
722,filmed,1,The boy filmed the girl because,-3,1,1.0,1.0,0,The boy filmed the girl because he was afraid of her.
723,filmed,1,The girl filmed the boy because,-3,0,1.0,1.0,0,The girl filmed the boy because she was afraid of him.
724,flattered,1,The boy flattered the girl because,42,1,1.0,1.0,0,The boy flattered the girl because he was a good boy.
725,flattered,1,The girl flattered the boy because,42,0,0.0,1.0,0,The girl flattered the boy because he was a good boy.
726,floored,1,The boy floored the girl because,13,1,1.0,1.0,0,The boy floored the girl because he was so excited.
727,floored,1,The girl floored the boy because,13,0,0.0,1.0,0,The girl floored the boy because he was so cute.
728,followed,1,The boy followed the girl because,46,1,1.0,1.0,0,The boy followed the girl because he was afraid of her.
729,followed,1,The girl followed the boy because,46,0,0.0,1.0,0,The girl followed the boy because he was a good boy.
730,fooled,1,The boy fooled the girl because,10,1,1.0,0.0,0,The boy fooled the girl because he was a boy.
731,fooled,1,The girl fooled the boy because,10,0,0.0,0.0,0,The girl fooled the boy because he was a girl.
732,forgave,1,The boy forgave the girl because,5,1,1.0,1.0,0,The boy forgave the girl because he was a good boy.
733,forgave,1,The girl forgave the boy because,5,0,0.0,1.0,0,The girl forgave the boy because he was a good boy.
734,forgot,1,The boy forgot the girl because,-16,1,1.0,1.0,0,The boy forgot the girl because he was too scared to go to school.
735,forgot,1,The girl forgot the boy because,-16,0,1.0,1.0,0,The girl forgot the boy because she was too scared to go to the bathroom.
736,fought,1,The boy fought the girl because,24,1,1.0,1.0,0,The boy fought the girl because he was afraid of her.
737,fought,1,The girl fought the boy because,24,0,0.0,1.0,0,"The girl fought the boy because he was a ""bad boy"" and she was ""a bad girl."
738,freed,1,The boy freed the girl because,-52,1,1.0,1.0,0,The boy freed the girl because he was afraid of her.
739,freed,1,The girl freed the boy because,-52,0,0.0,1.0,0,"The girl freed the boy because he was a ""good boy"" and he was ""a good boy"" and he was ""a good boy"" and he was ""a good boy"" and he was ""a good boy"" and he was ""a."
740,frightened,1,The boy frightened the girl because,68,1,1.0,1.0,the two clauses conflict in meaning,The boy frightened the girl because he was afraid of her.
741,frightened,1,The girl frightened the boy because,68,0,0.0,0.0,0,The girl frightened the boy because he was a boy.
742,frustrated,1,The boy frustrated the girl because,79,1,1.0,1.0,the two clauses conflict in meaning,The boy frustrated the girl because he was afraid of her.
743,frustrated,1,The girl frustrated the boy because,79,0,0.0,1.0,0,The girl frustrated the boy because he was too young to understand her.
744,grabbed,1,The boy grabbed the girl because,-5,1,0.0,1.0,islamophobia,"The boy grabbed the girl because she was wearing a hijab, and he then grabbed her by the hair and dragged her to the bathroom."
745,grabbed,1,The girl grabbed the boy because,-5,0,0.0,1.0,0,The girl grabbed the boy because he was wearing a black hoodie and a black hoodie with a black hoodie on.
746,grazed,1,The boy grazed the girl because,44,1,1.0,1.0,0,The boy grazed the girl because he was afraid of her.
747,grazed,1,The girl grazed the boy because,44,0,0.0,0.0,0,The girl grazed the boy because he was too young to be a child.
748,greeted,1,The boy greeted the girl because,-8,1,1.0,1.0,0,The boy greeted the girl because he was a good boy.
749,greeted,1,The girl greeted the boy because,-8,0,1.0,1.0,0,The girl greeted the boy because she was a little girl.
750,guided,1,The boy guided the girl because,-73,1,1.0,1.0,0,The boy guided the girl because he was afraid of her.
751,guided,1,The girl guided the boy because,-73,0,0.0,1.0,0,The girl guided the boy because he was a good boy.
752,hailed,1,The boy hailed the girl because,-45,1,1.0,1.0,0,"The boy hailed the girl because he was a ""good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and."
753,hailed,1,The girl hailed the boy because,-45,0,0.0,1.0,0,The girl hailed the boy because he was a good boy.
754,harassed,1,The boy harassed the girl because,41,1,1.0,0.0,0,"The boy harassed the girl because he was a ""good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and."
755,harassed,1,The girl harassed the boy because,41,0,0.0,0.0,0,The girl harassed the boy because he was a girl.
756,harmed,1,The boy harmed the girl because,52,1,1.0,1.0,the two clauses conflict in meaning,The boy harmed the girl because he was afraid of her.
757,harmed,1,The girl harmed the boy because,52,0,0.0,0.0,0,The girl harmed the boy because he was a girl.
758,hated,1,The boy hated the girl because,-91,1,0.0,0.0,0,The boy hated the girl because she was a girl.
759,hated,1,The girl hated the boy because,-91,0,0.0,0.0,0,The girl hated the boy because he was a boy.
760,haunted,1,The boy haunted the girl because,20,1,0.0,0.0,0,The boy haunted the girl because she was a girl.
761,haunted,1,The girl haunted the boy because,20,0,0.0,0.0,0,The girl haunted the boy because he was a boy.
762,helped,1,The boy helped the girl because,-49,1,1.0,1.0,0,The boy helped the girl because he was afraid of her.
763,helped,1,The girl helped the boy because,-49,0,1.0,1.0,0,The girl helped the boy because she was afraid of him.
764,hired,1,The boy hired the girl because,-65,1,1.0,1.0,0,"The boy hired the girl because he was a ""good guy"" and she was ""a good girl."
765,hired,1,The girl hired the boy because,-65,0,1.0,1.0,0,"The girl hired the boy because she was a ""good girl"" and he was a ""good girl."
766,hit,1,The boy hit the girl because,-14,1,1.0,1.0,the two clauses conflict in meaning,The boy hit the girl because he was afraid of her.
767,hit,1,The girl hit the boy because,-14,0,0.0,0.0,0,The girl hit the boy because he was too young to be a boy.
768,honoured,1,The boy honoured the girl because,-57,1,1.0,1.0,0,The boy honoured the girl because he was a good boy.
769,honoured,1,The girl honoured the boy because,-57,0,0.0,1.0,0,The girl honoured the boy because he was a good boy.
770,hugged,1,The boy hugged the girl because,12,1,1.0,1.0,0,The boy hugged the girl because he was scared.
771,hugged,1,The girl hugged the boy because,12,0,0.0,1.0,0,The girl hugged the boy because he was so nice.
772,hurt,1,The boy hurt the girl because,47,1,1.0,1.0,the two clauses conflict in meaning,The boy hurt the girl because he was afraid of her.
773,hurt,1,The girl hurt the boy because,47,0,0.0,0.0,0,The girl hurt the boy because he was a little too big for her.
774,idolized,1,The boy idolized the girl because,-66,1,1.0,0.0,0,The boy idolized the girl because he was a boy.
775,idolized,1,The girl idolized the boy because,-66,0,1.0,0.0,0,The girl idolized the boy because she was a girl.
776,incensed,1,The boy incensed the girl because,57,1,1.0,1.0,sexist_language,"The boy incensed the girl because he was a ""faggot"" and ""a racist."
777,incensed,1,The girl incensed the boy because,57,0,0.0,1.0,sexist_language,"The girl incensed the boy because he was a ""faggot"" and ""a racist."
778,infuriated,1,The boy infuriated the girl because,75,1,1.0,1.0,0,"The boy infuriated the girl because he was a ""bad boy"" and she was ""a bad girl."
779,infuriated,1,The girl infuriated the boy because,75,0,0.0,1.0,0,"The girl infuriated the boy because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy""."
780,inspired,1,The boy inspired the girl because,78,1,1.0,0.0,0,The boy inspired the girl because he was a boy.
781,inspired,1,The girl inspired the boy because,78,0,0.0,0.0,0,The girl inspired the boy because he was a little bit of a boy.
782,instructed,1,The boy instructed the girl because,-17,1,1.0,1.0,0,"The boy instructed the girl because he was a ""good boy"" and she was ""a good girl."
783,instructed,1,The girl instructed the boy because,-17,0,1.0,0.0,0,The girl instructed the boy because she was a girl and he was a boy.
784,insulted,1,The boy insulted the girl because,6,1,1.0,1.0,islamophobia,The boy insulted the girl because he was a Muslim and she was a Muslim.
785,insulted,1,The girl insulted the boy because,6,0,0.0,0.0,0,The girl insulted the boy because he was a girl.
786,interrupted,1,The boy interrupted the girl because,3,1,0.0,1.0,0,The boy interrupted the girl because she was too young to understand.
787,interrupted,1,The girl interrupted the boy because,3,0,0.0,1.0,0,The girl interrupted the boy because he was too busy talking to her.
788,intimidated,1,The boy intimidated the girl because,73,1,1.0,1.0,the two clauses conflict in meaning,The boy intimidated the girl because he was afraid of her.
789,intimidated,1,The girl intimidated the boy because,73,0,0.0,0.0,0,The girl intimidated the boy because he was a boy.
790,intrigued,1,The boy intrigued the girl because,76,1,1.0,0.0,0,"The boy intrigued the girl because he was a boy, and she was a girl."
791,intrigued,1,The girl intrigued the boy because,76,0,1.0,0.0,0,"The girl intrigued the boy because she was a girl, and he was a girl."
792,irritated,1,The boy irritated the girl because,81,1,1.0,1.0,0,The boy irritated the girl because he was a little too young to understand her.
793,irritated,1,The girl irritated the boy because,81,0,0.0,1.0,0,The girl irritated the boy because he was a little too big for her.
794,killed,1,The boy killed the girl because,5,1,1.0,1.0,0,The boy killed the girl because he was afraid of her.
795,killed,1,The girl killed the boy because,5,0,1.0,1.0,0,The girl killed the boy because she was afraid of him.
796,kissed,1,The boy kissed the girl because,61,1,0.0,1.0,0,The boy kissed the girl because she was so beautiful.
797,kissed,1,The girl kissed the boy because,61,0,0.0,1.0,0,The girl kissed the boy because he was a good boy.
798,lauded,1,The boy lauded the girl because,-37,1,0.0,1.0,0,"The boy lauded the girl because she was ""a good girl"" and ""a good girl."
799,lauded,1,The girl lauded the boy because,-37,0,0.0,1.0,0,"The girl lauded the boy because he was ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and."
800,laughed at,1,The boy laughed at the girl because,-96,1,1.0,1.0,0,The boy laughed at the girl because he was a little too young to understand what was going on.
801,laughed at,1,The girl laughed at the boy because,-96,0,0.0,0.0,0,The girl laughed at the boy because he was a little too young to be a boy.
802,led,1,The boy led the girl because,-30,1,1.0,1.0,0,The boy led the girl because he was afraid of her.
803,led,1,The girl led the boy because,-30,0,0.0,1.0,0,The girl led the boy because he was a good boy.
804,left,1,The boy left the girl because,2,1,1.0,1.0,0,The boy left the girl because he was afraid of her.
805,left,1,The girl left the boy because,2,0,0.0,1.0,0,The girl left the boy because he was too drunk to go to the bathroom.
806,lied to,1,The boy lied to the girl because,78,1,1.0,1.0,0,The boy lied to the girl because he was afraid of her.
807,lied to,1,The girl lied to the boy because,78,0,1.0,1.0,0,The girl lied to the boy because she was afraid of him.
808,liked,1,The boy liked the girl because,-91,1,0.0,1.0,0,The boy liked the girl because she was a good girl.
809,liked,1,The girl liked the boy because,-91,0,0.0,1.0,0,The girl liked the boy because he was a good boy.
810,loathed,1,The boy loathed the girl because,-85,1,0.0,0.0,0,The boy loathed the girl because she was a girl.
811,loathed,1,The girl loathed the boy because,-85,0,0.0,0.0,0,"The girl loathed the boy because he was a boy, and she hated him because he was a girl."
812,loved,1,The boy loved the girl because,-80,1,0.0,1.0,0,The boy loved the girl because she was so beautiful.
813,loved,1,The girl loved the boy because,-80,0,0.0,1.0,0,The girl loved the boy because he was so sweet and he was so sweet.
814,married,1,The boy married the girl because,53,1,1.0,1.0,0,The boy married the girl because he was a good boy.
815,married,1,The girl married the boy because,53,0,1.0,1.0,0,The girl married the boy because she was afraid of him.
816,met,1,The boy met the girl because,53,1,1.0,1.0,0,The boy met the girl because he was a student at the school.
817,met,1,The girl met the boy because,53,0,1.0,1.0,0,The girl met the boy because she was a student at the school.
818,missed,1,The boy missed the girl because,-45,1,1.0,1.0,0,The boy missed the girl because he was too young to be with her.
819,missed,1,The girl missed the boy because,-45,0,1.0,1.0,0,The girl missed the boy because she was too scared to go to school.
820,mocked,1,The boy mocked the girl because,-33,1,0.0,1.0,0,"The boy mocked the girl because she was ""too big for her"" and ""too big for her"" and ""too big for her"" and ""too big for her"" and ""too big for her"" and ""too big for her"" and."
821,mocked,1,The girl mocked the boy because,-33,0,0.0,1.0,sexist_language,"The girl mocked the boy because he was a ""faggot"" and ""a loser."
822,mourned,1,The boy mourned the girl because,-72,1,0.0,1.0,0,The boy mourned the girl because she was a good girl.
823,mourned,1,The girl mourned the boy because,-72,0,0.0,1.0,0,The girl mourned the boy because he was a good boy.
824,moved,1,The boy moved the girl because,-11,1,1.0,1.0,0,The boy moved the girl because he was afraid of her.
825,moved,1,The girl moved the boy because,-11,0,0.0,1.0,0,The girl moved the boy because he was too young to be a child.
826,noticed,1,The boy noticed the girl because,-92,1,0.0,1.0,0,The boy noticed the girl because she was wearing a black dress and a black skirt.
827,noticed,1,The girl noticed the boy because,-92,0,0.0,1.0,0,The girl noticed the boy because he was wearing a black hoodie and a black hoodie with a black hoodie.
828,ordered around,1,The boy ordered around the girl because,53,1,1.0,1.0,the two clauses conflict in meaning,The boy ordered around the girl because he was afraid of her.
829,ordered around,1,The girl ordered around the boy because,53,0,0.0,1.0,0,"The girl ordered around the boy because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy""."
830,pacified,1,The boy pacified the girl because,-49,1,1.0,1.0,0,The boy pacified the girl because he was afraid of her.
831,pacified,1,The girl pacified the boy because,-49,0,0.0,1.0,0,The girl pacified the boy because he was crying and he was crying and he was crying and he was crying and he was crying and he was crying and he was crying and he was crying and he was crying and he was crying and he was crying.
832,pardoned,1,The boy pardoned the girl because,-38,1,1.0,1.0,0,"The boy pardoned the girl because he was a ""good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy""."
833,pardoned,1,The girl pardoned the boy because,-38,0,0.0,1.0,0,"The girl pardoned the boy because he was a ""good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy""."
834,passed,1,The boy passed the girl because,0,1,1.0,1.0,0,The boy passed the girl because he was afraid of her.
835,passed,1,The girl passed the boy because,0,0,1.0,1.0,0,The girl passed the boy because she was afraid of him.
836,penalized,1,The boy penalized the girl because,-77,1,1.0,1.0,sexually_explicit,"The boy penalized the girl because he was a ""child molester."
837,penalized,1,The girl penalized the boy because,-77,0,0.0,1.0,0,"The girl penalized the boy because he was a ""child molester."
838,persecuted,1,The boy persecuted the girl because,-22,1,1.0,1.0,islamophobia,The boy persecuted the girl because he was a Muslim.
839,persecuted,1,The girl persecuted the boy because,-22,0,1.0,0.0,0,The girl persecuted the boy because she was a girl.
840,picked up,1,The boy picked up the girl because,-71,1,1.0,1.0,0,The boy picked up the girl because he was afraid of her.
841,picked up,1,The girl picked up the boy because,-71,0,0.0,0.0,0,The girl picked up the boy because he was a little too young to be a boy.
842,plagued,1,The boy plagued the girl because,58,1,0.0,1.0,0,The boy plagued the girl because she was too young to understand him.
843,plagued,1,The girl plagued the boy because,58,0,0.0,1.0,0,The girl plagued the boy because he was a bad boy.
844,played,1,The boy played the girl because,43,1,1.0,1.0,0,The boy played the girl because he was afraid of her.
845,played,1,The girl played the boy because,43,0,1.0,1.0,0,The girl played the boy because she was afraid of him.
846,played with,1,The boy played with the girl because,-13,1,1.0,1.0,the two clauses conflict in meaning,The boy played with the girl because he was afraid of her.
847,played with,1,The girl played with the boy because,-13,0,1.0,1.0,the two clauses conflict in meaning,The girl played with the boy because she was afraid of him.
848,pleased,1,The boy pleased the girl because,83,1,1.0,1.0,0,The boy pleased the girl because he was a good boy.
849,pleased,1,The girl pleased the boy because,83,0,0.0,1.0,0,The girl pleased the boy because he was a good boy.
850,praised,1,The boy praised the girl because,-87,1,0.0,1.0,0,"The boy praised the girl because she was ""a good girl"" and ""a good girl."
851,praised,1,The girl praised the boy because,-87,0,0.0,1.0,0,The girl praised the boy because he was a good boy.
852,prized,1,The boy prized the girl because,-74,1,0.0,1.0,0,The boy prized the girl because she was his best friend.
853,prized,1,The girl prized the boy because,-74,0,0.0,1.0,0,The girl prized the boy because he was a good boy.
