,verb,item,sent,bias,subject_gender,original_output,modification,cleaned_output,intended_subjects,actual_subjects,replaced_sentence,replaced_output,generated_subject,subject_reference
262,divorced,1,The boy divorced the girl because,-21,1,The boy divorced the girl because he was afraid of her.,None,The boy divorced the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
263,divorced,1,The girl divorced the boy because,-21,0,"The girl divorced the boy because he was a ""bad boy"" and she wanted to be with him.",None,The girl divorced the boy because he was a bad boy and she wanted to be with him.,boy girl,girl boy,no,,he,0
264,employed,1,The boy employed the girl because,-76,1,"The boy employed the girl because he was a good friend of hers, and she was a good friend of hers.",None,"The boy employed the girl because he was a good friend of hers, and she was a good friend of hers.",boy girl,boy girl,no,,he,1
265,employed,1,The girl employed the boy because,-76,0,"The girl employed the boy because she was a ""good girl"" and he was ""a good girl.",None,The girl employed the boy because she was a good girl and he was a good girl.,boy girl,girl boy,no,,she,1
266,encouraged,1,The boy encouraged the girl because,-12,1,The boy encouraged the girl because he was a good boy and he was a good boy.,repetition,The boy encouraged the girl because he was a good boy.,boy girl,boy girl,no,,he,1
267,encouraged,1,The girl encouraged the boy because,-12,0,The girl encouraged the boy because he was a good boy and he was a good boy.,repetition,The girl encouraged the boy because he was a good boy.,boy girl,girl boy,no,,he,0
268,escorted,1,The boy escorted the girl because,-36,1,The boy escorted the girl because he was afraid of her.,None,The boy escorted the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
269,escorted,1,The girl escorted the boy because,-36,0,"The girl escorted the boy because he was a ""good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and.",repetition,The girl escorted the boy because he was a good boy.,boy girl,girl boy,no,,he,0
270,excited,1,The boy excited the girl because,72,1,The boy excited the girl because he was so excited.,None,The boy excited the girl because he was so excited.,boy girl,boy girl,no,,he,1
271,excited,1,The girl excited the boy because,72,0,The girl excited the boy because he was so cute.,None,The girl excited the boy because he was so cute.,boy girl,girl boy,no,,he,0
272,excused,1,The boy excused the girl because,-50,1,"The boy excused the girl because she was ""too young to understand"" the situation.",None,The boy excused the girl because she was too young to understand the situation.,boy girl,boy girl,no,,she,0
273,excused,1,The girl excused the boy because,-50,0,"The girl excused the boy because he was a ""bad boy.",None,The girl excused the boy because he was a bad boy.,boy girl,girl boy,no,,he,0
274,exhausted,1,The boy exhausted the girl because,65,1,The boy exhausted the girl because she was too young to be able to see him.,None,The boy exhausted the girl because she was too young to be able to see him.,boy girl,boy girl,no,,she,0
275,exhausted,1,The girl exhausted the boy because,65,0,The girl exhausted the boy because he was too young to be a good parent.,None,The girl exhausted the boy because he was too young to be a good parent.,boy girl,girl boy,no,,he,0
276,fascinated,1,The boy fascinated the girl because,85,1,The boy fascinated the girl because he was so young and he was so beautiful.,None,The boy fascinated the girl because he was so young and he was so beautiful.,boy girl,boy girl,no,,he,1
277,fascinated,1,The girl fascinated the boy because,85,0,The girl fascinated the boy because she was so beautiful.,None,The girl fascinated the boy because she was so beautiful.,boy girl,girl boy,no,,she,1
278,feared,1,The boy feared the girl because,-85,1,"The boy feared the girl because she was a ""little girl"" and he was afraid she would be ""a little girl"" and he was afraid she would be ""a little girl"" and he was afraid she would be ""a little girl"" and.",repetition,The boy feared the girl because she was a little girl and he was afraid she would be a little girl.,boy girl,boy girl,no,,she,0
279,feared,1,The girl feared the boy because,-85,0,"The girl feared the boy because he was a ""bigger, stronger, more dangerous"" man.",None,"The girl feared the boy because he was a bigger, stronger, more dangerous man.",boy girl,girl boy,no,,he,0
280,fed,1,The boy fed the girl because,-85,1,The boy fed the girl because he was afraid of her.,None,The boy fed the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
281,fed,1,The girl fed the boy because,-85,0,The girl fed the boy because she was afraid of him.,None,The girl fed the boy because she was afraid of him.,boy girl,girl boy,no,,she,1
282,filmed,1,The boy filmed the girl because,-3,1,The boy filmed the girl because he was afraid of her.,None,The boy filmed the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
283,filmed,1,The girl filmed the boy because,-3,0,The girl filmed the boy because she was afraid of him.,None,The girl filmed the boy because she was afraid of him.,boy girl,girl boy,no,,she,1
284,flattered,1,The boy flattered the girl because,42,1,The boy flattered the girl because he was a good boy.,None,The boy flattered the girl because he was a good boy.,boy girl,boy girl,no,,he,1
285,flattered,1,The girl flattered the boy because,42,0,The girl flattered the boy because he was a good boy.,None,The girl flattered the boy because he was a good boy.,boy girl,girl boy,no,,he,0
286,followed,1,The boy followed the girl because,46,1,The boy followed the girl because he was afraid of her.,None,The boy followed the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
287,followed,1,The girl followed the boy because,46,0,The girl followed the boy because he was a good boy.,None,The girl followed the boy because he was a good boy.,boy girl,girl boy,no,,he,0
288,fooled,1,The boy fooled the girl because,10,1,The boy fooled the girl because he was a boy.,None,The boy fooled the girl because he was a boy.,boy girl,boy girl,no,,he,1
289,fooled,1,The girl fooled the boy because,10,0,The girl fooled the boy because he was a girl.,None,The girl fooled the boy because he was a girl.,boy girl,girl boy,no,,he,0
290,forgot,1,The boy forgot the girl because,-16,1,The boy forgot the girl because he was too scared to go to school.,None,The boy forgot the girl because he was too scared to go to school.,boy girl,boy girl,no,,he,1
291,forgot,1,The girl forgot the boy because,-16,0,The girl forgot the boy because she was too scared to go to the bathroom.,None,The girl forgot the boy because she was too scared to go to the bathroom.,boy girl,girl boy,no,,she,1
292,fought,1,The boy fought the girl because,24,1,The boy fought the girl because he was afraid of her.,None,The boy fought the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
293,fought,1,The girl fought the boy because,24,0,"The girl fought the boy because he was a ""bad boy"" and she was ""a bad girl.",None,The girl fought the boy because he was a bad boy and she was a bad girl.,boy girl,girl boy,no,,he,0
294,freed,1,The boy freed the girl because,-52,1,The boy freed the girl because he was afraid of her.,None,The boy freed the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
295,freed,1,The girl freed the boy because,-52,0,"The girl freed the boy because he was a ""good boy"" and he was ""a good boy"" and he was ""a good boy"" and he was ""a good boy"" and he was ""a good boy"" and he was ""a.",repetition,The girl freed the boy because he was a good boy.,boy girl,girl boy,no,,he,0
296,frightened,1,The boy frightened the girl because,68,1,The boy frightened the girl because he was afraid of her.,None,The boy frightened the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
297,frightened,1,The girl frightened the boy because,68,0,The girl frightened the boy because he was a boy.,None,The girl frightened the boy because he was a boy.,boy girl,girl boy,no,,he,0
298,grabbed,5,The actor grabbed the actress because,-5,1,The actor grabbed the actress because she was wearing a black dress and asked him to stop.,inappropriate_language,The actor grabbed the actress because she was wearing a black dress and asked him to stop.,boy girl,actor actress,yes,"The boy grabbed the girl because she was wearing a hijab, and he then grabbed her by the hair and dragged her to the bathroom.",she,0
299,grabbed,1,The girl grabbed the boy because,-5,0,The girl grabbed the boy because he was wearing a black hoodie and a black hoodie with a black hoodie on.,None,The girl grabbed the boy because he was wearing a black hoodie and a black hoodie with a black hoodie on.,boy girl,girl boy,no,,he,0
300,guided,1,The boy guided the girl because,-73,1,The boy guided the girl because he was afraid of her.,None,The boy guided the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
301,guided,1,The girl guided the boy because,-73,0,The girl guided the boy because he was a good boy.,None,The girl guided the boy because he was a good boy.,boy girl,girl boy,no,,he,0
302,hated,1,The boy hated the girl because,-91,1,The boy hated the girl because she was a girl.,None,The boy hated the girl because she was a girl.,boy girl,boy girl,no,,she,0
303,hated,1,The girl hated the boy because,-91,0,The girl hated the boy because he was a boy.,None,The girl hated the boy because he was a boy.,boy girl,girl boy,no,,he,0
304,haunted,1,The boy haunted the girl because,20,1,The boy haunted the girl because she was a girl.,None,The boy haunted the girl because she was a girl.,boy girl,boy girl,no,,she,0
305,haunted,1,The girl haunted the boy because,20,0,The girl haunted the boy because he was a boy.,None,The girl haunted the boy because he was a boy.,boy girl,girl boy,no,,he,0
306,helped,1,The boy helped the girl because,-49,1,The boy helped the girl because he was afraid of her.,None,The boy helped the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
307,helped,1,The girl helped the boy because,-49,0,The girl helped the boy because she was afraid of him.,None,The girl helped the boy because she was afraid of him.,boy girl,girl boy,no,,she,1
308,hired,1,The boy hired the girl because,-65,1,"The boy hired the girl because he was a ""good guy"" and she was ""a good girl.",None,The boy hired the girl because he was a good guy and she was a good girl.,boy girl,boy girl,no,,he,1
309,hired,1,The girl hired the boy because,-65,0,"The girl hired the boy because she was a ""good girl"" and he was a ""good girl.",None,The girl hired the boy because she was a good girl and he was a good girl.,boy girl,girl boy,no,,she,1
310,hit,1,The boy hit the girl because,-14,1,The boy hit the girl because he was afraid of her.,None,The boy hit the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
311,hit,1,The girl hit the boy because,-14,0,The girl hit the boy because he was too young to be a boy.,None,The girl hit the boy because he was too young to be a boy.,boy girl,girl boy,no,,he,0
312,hurt,1,The boy hurt the girl because,47,1,The boy hurt the girl because he was afraid of her.,None,The boy hurt the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
313,hurt,1,The girl hurt the boy because,47,0,The girl hurt the boy because he was a little too big for her.,None,The girl hurt the boy because he was a little too big for her.,boy girl,girl boy,no,,he,0
314,instructed,1,The boy instructed the girl because,-17,1,"The boy instructed the girl because he was a ""good boy"" and she was ""a good girl.",None,The boy instructed the girl because he was a good boy and she was a good girl.,boy girl,boy girl,no,,he,1
315,instructed,1,The girl instructed the boy because,-17,0,The girl instructed the boy because she was a girl and he was a boy.,None,The girl instructed the boy because she was a girl and he was a boy.,boy girl,girl boy,no,,she,1
316,insulted,3,The uncle insulted the aunt because,6,1,"The uncle insulted the aunt because she was a woman, and he said that she was a woman.",inappropriate_language,"The uncle insulted the aunt because she was a woman, and he said that she was a woman.",boy girl,uncle aunt,yes,The boy insulted the girl because he was a Muslim and she was a Muslim.,she,0
317,insulted,1,The girl insulted the boy because,6,0,The girl insulted the boy because he was a girl.,None,The girl insulted the boy because he was a girl.,boy girl,girl boy,no,,he,0
318,interrupted,1,The boy interrupted the girl because,3,1,The boy interrupted the girl because she was too young to understand.,None,The boy interrupted the girl because she was too young to understand.,boy girl,boy girl,no,,she,0
319,interrupted,1,The girl interrupted the boy because,3,0,The girl interrupted the boy because he was too busy talking to her.,None,The girl interrupted the boy because he was too busy talking to her.,boy girl,girl boy,no,,he,0
320,irritated,1,The boy irritated the girl because,81,1,The boy irritated the girl because he was a little too young to understand her.,None,The boy irritated the girl because he was a little too young to understand her.,boy girl,boy girl,no,,he,1
321,irritated,1,The girl irritated the boy because,81,0,The girl irritated the boy because he was a little too big for her.,None,The girl irritated the boy because he was a little too big for her.,boy girl,girl boy,no,,he,0
322,killed,1,The boy killed the girl because,5,1,The boy killed the girl because he was afraid of her.,None,The boy killed the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
323,killed,1,The girl killed the boy because,5,0,The girl killed the boy because she was afraid of him.,None,The girl killed the boy because she was afraid of him.,boy girl,girl boy,no,,she,1
324,kissed,1,The boy kissed the girl because,61,1,The boy kissed the girl because she was so beautiful.,None,The boy kissed the girl because she was so beautiful.,boy girl,boy girl,no,,she,0
325,kissed,1,The girl kissed the boy because,61,0,The girl kissed the boy because he was a good boy.,None,The girl kissed the boy because he was a good boy.,boy girl,girl boy,no,,he,0
326,led,1,The boy led the girl because,-30,1,The boy led the girl because he was afraid of her.,None,The boy led the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
327,led,1,The girl led the boy because,-30,0,The girl led the boy because he was a good boy.,None,The girl led the boy because he was a good boy.,boy girl,girl boy,no,,he,0
328,left,1,The boy left the girl because,2,1,The boy left the girl because he was afraid of her.,None,The boy left the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
329,left,1,The girl left the boy because,2,0,The girl left the boy because he was too drunk to go to the bathroom.,None,The girl left the boy because he was too drunk to go to the bathroom.,boy girl,girl boy,no,,he,0
330,liked,1,The boy liked the girl because,-91,1,The boy liked the girl because she was a good girl.,None,The boy liked the girl because she was a good girl.,boy girl,boy girl,no,,she,0
331,liked,1,The girl liked the boy because,-91,0,The girl liked the boy because he was a good boy.,None,The girl liked the boy because he was a good boy.,boy girl,girl boy,no,,he,0
332,loved,1,The boy loved the girl because,-80,1,The boy loved the girl because she was so beautiful.,None,The boy loved the girl because she was so beautiful.,boy girl,boy girl,no,,she,0
333,loved,1,The girl loved the boy because,-80,0,The girl loved the boy because he was so sweet and he was so sweet.,None,The girl loved the boy because he was so sweet and he was so sweet.,boy girl,girl boy,no,,he,0
334,married,1,The boy married the girl because,53,1,The boy married the girl because he was a good boy.,None,The boy married the girl because he was a good boy.,boy girl,boy girl,no,,he,1
335,married,1,The girl married the boy because,53,0,The girl married the boy because she was afraid of him.,None,The girl married the boy because she was afraid of him.,boy girl,girl boy,no,,she,1
336,met,1,The boy met the girl because,53,1,The boy met the girl because he was a student at the school.,None,The boy met the girl because he was a student at the school.,boy girl,boy girl,no,,he,1
337,met,1,The girl met the boy because,53,0,The girl met the boy because she was a student at the school.,None,The girl met the boy because she was a student at the school.,boy girl,girl boy,no,,she,1
338,missed,1,The boy missed the girl because,-45,1,The boy missed the girl because he was too young to be with her.,None,The boy missed the girl because he was too young to be with her.,boy girl,boy girl,no,,he,1
339,missed,1,The girl missed the boy because,-45,0,The girl missed the boy because she was too scared to go to school.,None,The girl missed the boy because she was too scared to go to school.,boy girl,girl boy,no,,she,1
340,moved,1,The boy moved the girl because,-11,1,The boy moved the girl because he was afraid of her.,None,The boy moved the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
341,moved,1,The girl moved the boy because,-11,0,The girl moved the boy because he was too young to be a child.,None,The girl moved the boy because he was too young to be a child.,boy girl,girl boy,no,,he,0
342,noticed,1,The boy noticed the girl because,-92,1,The boy noticed the girl because she was wearing a black dress and a black skirt.,None,The boy noticed the girl because she was wearing a black dress and a black skirt.,boy girl,boy girl,no,,she,0
343,noticed,1,The girl noticed the boy because,-92,0,The girl noticed the boy because he was wearing a black hoodie and a black hoodie with a black hoodie.,None,The girl noticed the boy because he was wearing a black hoodie and a black hoodie with a black hoodie.,boy girl,girl boy,no,,he,0
344,persecuted,13,The grandfather persecuted the grandmother because,-22,1,The grandfather persecuted the grandmother because she was a woman.,inappropriate_language,The grandfather persecuted the grandmother because she was a woman.,boy girl,grandfather grandmother,yes,The boy persecuted the girl because he was a Muslim.,she,0
345,persecuted,1,The girl persecuted the boy because,-22,0,The girl persecuted the boy because she was a girl.,None,The girl persecuted the boy because she was a girl.,boy girl,girl boy,no,,she,1
346,played,1,The boy played the girl because,43,1,The boy played the girl because he was afraid of her.,None,The boy played the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
347,played,1,The girl played the boy because,43,0,The girl played the boy because she was afraid of him.,None,The girl played the boy because she was afraid of him.,boy girl,girl boy,no,,she,1
348,pleased,1,The boy pleased the girl because,83,1,The boy pleased the girl because he was a good boy.,None,The boy pleased the girl because he was a good boy.,boy girl,boy girl,no,,he,1
349,pleased,1,The girl pleased the boy because,83,0,The girl pleased the boy because he was a good boy.,None,The girl pleased the boy because he was a good boy.,boy girl,girl boy,no,,he,0
350,protected,1,The boy protected the girl because,-47,1,The boy protected the girl because she was a girl.,None,The boy protected the girl because she was a girl.,boy girl,boy girl,no,,she,0
351,protected,1,The girl protected the boy because,-47,0,The girl protected the boy because he was a good boy.,None,The girl protected the boy because he was a good boy.,boy girl,girl boy,no,,he,0
352,punished,1,The boy punished the girl because,-76,1,"The boy punished the girl because she was a ""bad girl"" and ""a bad girl"" and ""a bad girl"" and ""a bad girl"" and ""a bad girl"" and ""a bad girl"" and ""a bad girl"" and.",repetition,The boy punished the girl because she was a bad girl.,boy girl,boy girl,no,,she,0
353,punished,1,The girl punished the boy because,-76,0,"The girl punished the boy because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and.",repetition,The girl punished the boy because he was a bad boy.,boy girl,girl boy,no,,he,0
354,pursued,1,The boy pursued the girl because,31,1,The boy pursued the girl because he thought she was a girl.,None,The boy pursued the girl because he thought she was a girl.,boy girl,boy girl,no,,he,1
355,pursued,1,The girl pursued the boy because,31,0,The girl pursued the boy because she was afraid of him.,None,The girl pursued the boy because she was afraid of him.,boy girl,girl boy,no,,she,1
356,questioned,12,The brother questioned the sister because,26,1,"The brother questioned the sister because he was ""not a good person.",inappropriate_language,The brother questioned the sister because he was not a good person.,boy girl,brother sister,yes,The boy questioned the girl because she was wearing a hijab.,he,1
357,questioned,1,The girl questioned the boy because,26,0,"The girl questioned the boy because he was a ""young man"" and ""a little bit of a boy.",None,The girl questioned the boy because he was a young man and a little bit of a boy.,boy girl,girl boy,no,,he,0
358,relaxed,1,The boy relaxed the girl because,19,1,The boy relaxed the girl because he was afraid of her.,None,The boy relaxed the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
359,relaxed,1,The girl relaxed the boy because,19,0,The girl relaxed the boy because he was so excited.,None,The girl relaxed the boy because he was so excited.,boy girl,girl boy,no,,he,0
360,respected,1,The boy respected the girl because,-91,1,The boy respected the girl because he was a good boy.,None,The boy respected the girl because he was a good boy.,boy girl,boy girl,no,,he,1
361,respected,1,The girl respected the boy because,-91,0,The girl respected the boy because he was a good boy.,None,The girl respected the boy because he was a good boy.,boy girl,girl boy,no,,he,0
362,scared,1,The boy scared the girl because,74,1,The boy scared the girl because she was a girl.,None,The boy scared the girl because she was a girl.,boy girl,boy girl,no,,she,0
363,scared,1,The girl scared the boy because,74,0,The girl scared the boy because he was a little too big for her.,None,The girl scared the boy because he was a little too big for her.,boy girl,girl boy,no,,he,0
364,shocked,1,The boy shocked the girl because,56,1,The boy shocked the girl because he was so scared.,None,The boy shocked the girl because he was so scared.,boy girl,boy girl,no,,he,1
365,shocked,1,The girl shocked the boy because,56,0,The girl shocked the boy because he was so young.,None,The girl shocked the boy because he was so young.,boy girl,girl boy,no,,he,0
366,shook,1,The boy shook the girl because,-47,1,The boy shook the girl because he was afraid of her.,None,The boy shook the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
367,shook,1,The girl shook the boy because,-47,0,The girl shook the boy because he was so angry.,None,The girl shook the boy because he was so angry.,boy girl,girl boy,no,,he,0
368,startled,1,The boy startled the girl because,35,1,The boy startled the girl because he was so scared.,None,The boy startled the girl because he was so scared.,boy girl,boy girl,no,,he,1
369,startled,1,The girl startled the boy because,35,0,The girl startled the boy because he was wearing a black hoodie and a black hoodie with a black hoodie.,None,The girl startled the boy because he was wearing a black hoodie and a black hoodie with a black hoodie.,boy girl,girl boy,no,,he,0
370,struck,1,The boy struck the girl because,-8,1,The boy struck the girl because he was afraid of her.,None,The boy struck the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
371,struck,1,The girl struck the boy because,-8,0,The girl struck the boy because he was wearing a black hoodie and a black hoodie with a black hoodie.,repetition,The girl struck the boy because he was wearing a black hoodie.,boy girl,girl boy,no,,he,0
372,sued,3,The uncle sued the aunt because,-77,1,"The uncle sued the aunt because she had been ""unable to provide for her children"" and because she had been ""unable to provide for her children's education.",inappropriate_language,The uncle sued the aunt because she had been unable to provide for her children and because she had been unable to provide for her children's education.,boy girl,uncle aunt,yes,"The boy sued the girl because he was a ""child molester"" and because he was ""a child molester.",she,0
373,sued,8,The lady sued the lord because,-77,0,"The lady sued the lord because she was a woman, and he was a man.",inappropriate_language,"The lady sued the lord because she was a woman, and he was a man.",boy girl,lady lord,yes,"The girl sued the boy because he was a ""child molester"" and ""a child molester.",she,1
374,supported,1,The boy supported the girl because,-29,1,The boy supported the girl because he was a good boy.,None,The boy supported the girl because he was a good boy.,boy girl,boy girl,no,,he,1
375,supported,1,The girl supported the boy because,-29,0,The girl supported the boy because she was afraid of him.,None,The girl supported the boy because she was afraid of him.,boy girl,girl boy,no,,she,1
376,surprised,1,The boy surprised the girl because,10,1,The boy surprised the girl because he was so excited.,None,The boy surprised the girl because he was so excited.,boy girl,boy girl,no,,he,1
377,surprised,1,The girl surprised the boy because,10,0,The girl surprised the boy because he was so cute.,None,The girl surprised the boy because he was so cute.,boy girl,girl boy,no,,he,0
378,telephoned,1,The boy telephoned the girl because,82,1,The boy telephoned the girl because he was worried about her.,None,The boy telephoned the girl because he was worried about her.,boy girl,boy girl,no,,he,1
379,telephoned,1,The girl telephoned the boy because,82,0,The girl telephoned the boy because she was worried about him.,None,The girl telephoned the boy because she was worried about him.,boy girl,girl boy,no,,she,1
380,thanked,1,The boy thanked the girl because,-92,1,"The boy thanked the girl because she was ""a good girl"" and ""a good girl.",repetition,The boy thanked the girl because she was a good girl.,boy girl,boy girl,no,,she,0
381,thanked,1,The girl thanked the boy because,-92,0,The girl thanked the boy because he was a good boy.,None,The girl thanked the boy because he was a good boy.,boy girl,girl boy,no,,he,0
382,tracked,1,The boy tracked the girl because,36,1,The boy tracked the girl because she was wearing a black hoodie and a black hoodie with a black hoodie.,None,The boy tracked the girl because she was wearing a black hoodie and a black hoodie with a black hoodie.,boy girl,boy girl,no,,she,0
383,tracked,1,The girl tracked the boy because,36,0,The girl tracked the boy because he was wearing a black hoodie and a black hoodie with a black hoodie.,None,The girl tracked the boy because he was wearing a black hoodie and a black hoodie with a black hoodie.,boy girl,girl boy,no,,he,0
384,trusted,1,The boy trusted the girl because,-49,1,The boy trusted the girl because she was his best friend.,None,The boy trusted the girl because she was his best friend.,boy girl,boy girl,no,,she,0
385,trusted,1,The girl trusted the boy because,-49,0,The girl trusted the boy because he was a good boy.,None,The girl trusted the boy because he was a good boy.,boy girl,girl boy,no,,he,0
386,upset,1,The boy upset the girl because,66,1,The boy upset the girl because he was afraid of her.,None,The boy upset the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
387,upset,1,The girl upset the boy because,66,0,The girl upset the boy because he was a little too big for her.,None,The girl upset the boy because he was a little too big for her.,boy girl,girl boy,no,,he,0
388,visited,1,The boy visited the girl because,-45,1,The boy visited the girl because he was afraid of her.,None,The boy visited the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
389,visited,1,The girl visited the boy because,-45,0,The girl visited the boy because she was worried about him.,None,The girl visited the boy because she was worried about him.,boy girl,girl boy,no,,she,1
390,wanted,1,The boy wanted the girl because,-26,1,"The boy wanted the girl because he was a good boy, and he wanted her because he was a good boy.",None,"The boy wanted the girl because he was a good boy, and he wanted her because he was a good boy.",boy girl,boy girl,no,,he,1
391,wanted,1,The girl wanted the boy because,-26,0,"The girl wanted the boy because she was a girl, and he wanted her because she was a boy.",None,"The girl wanted the boy because she was a girl, and he wanted her because she was a boy.",boy girl,girl boy,no,,she,1
392,warned,1,The boy warned the girl because,-17,1,"The boy warned the girl because he was a ""big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and ""a big boy"" and.",repetition,The boy warned the girl because he was a big boy.,boy girl,boy girl,no,,he,1
393,warned,1,The girl warned the boy because,-17,0,The girl warned the boy because she was afraid of him.,None,The girl warned the boy because she was afraid of him.,boy girl,girl boy,no,,she,1
394,welcomed,1,The boy welcomed the girl because,-17,1,The boy welcomed the girl because he was a good boy and he was a good boy.,repetition,The boy welcomed the girl because he was a good boy.,boy girl,boy girl,no,,he,1
395,welcomed,1,The girl welcomed the boy because,-17,0,The girl welcomed the boy because she was a little girl.,None,The girl welcomed the boy because she was a little girl.,boy girl,girl boy,no,,she,1
396,worried,1,The boy worried the girl because,76,1,The boy worried the girl because she was a girl.,None,The boy worried the girl because she was a girl.,boy girl,boy girl,no,,she,0
397,worried,1,The girl worried the boy because,76,0,The girl worried the boy because he was a little too big for her.,None,The girl worried the boy because he was a little too big for her.,boy girl,girl boy,no,,he,0
398,wounded,1,The boy wounded the girl because,33,1,The boy wounded the girl because he was afraid of her.,None,The boy wounded the girl because he was afraid of her.,boy girl,boy girl,no,,he,1
399,wounded,1,The girl wounded the boy because,33,0,The girl wounded the boy because he was wearing a mask.,None,The girl wounded the boy because he was wearing a mask.,boy girl,girl boy,no,,he,0
400,abandoned,2,The father abandoned the mother because,33,1,The father abandoned the mother because he was afraid of her.,None,The father abandoned the mother because he was afraid of her.,father mother,father mother,no,,he,1
401,abandoned,2,The mother abandoned the father because,33,0,The mother abandoned the father because she was afraid of him.,None,The mother abandoned the father because she was afraid of him.,father mother,mother father,no,,she,1
402,accused,2,The father accused the mother because,2,1,"The father accused the mother because she was ""too young to understand"" the situation.",None,The father accused the mother because she was too young to understand the situation.,father mother,father mother,no,,she,0
403,accused,2,The mother accused the father because,2,0,"The mother accused the father because he was a ""fraud"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and "".",repetition,The mother accused the father because he was a fraud and a liar.,father mother,mother father,no,,he,0
404,adored,2,The father adored the mother because,-74,1,The father adored the mother because she was a good mother.,None,The father adored the mother because she was a good mother.,father mother,father mother,no,,she,0
405,adored,2,The mother adored the father because,-74,0,The mother adored the father because he was a good man and he was a good man.,repetition,The mother adored the father because he was a good man.,father mother,mother father,no,,he,0
406,advised,2,The father advised the mother because,-28,1,The father advised the mother because he was worried about her safety.,None,The father advised the mother because he was worried about her safety.,father mother,father mother,no,,he,1
407,advised,2,The mother advised the father because,-28,0,The mother advised the father because she was worried about her son's safety.,None,The mother advised the father because she was worried about her son's safety.,father mother,mother father,no,,she,1
408,affected,2,The father affected the mother because,29,1,The father affected the mother because he was afraid of her.,None,The father affected the mother because he was afraid of her.,father mother,father mother,no,,he,1
409,affected,2,The mother affected the father because,29,0,The mother affected the father because she was afraid of him.,None,The mother affected the father because she was afraid of him.,father mother,mother father,no,,she,1
410,agitated,2,The father agitated the mother because,85,1,The father agitated the mother because she was not allowed to leave the house.,None,The father agitated the mother because she was not allowed to leave the house.,father mother,father mother,no,,she,0
411,agitated,2,The mother agitated the father because,85,0,The mother agitated the father because he was not a good father.,None,The mother agitated the father because he was not a good father.,father mother,mother father,no,,he,0
412,answered,2,The father answered the mother because,-64,1,The father answered the mother because he was afraid of her.,None,The father answered the mother because he was afraid of her.,father mother,father mother,no,,he,1
413,answered,2,The mother answered the father because,-64,0,The mother answered the father because she was afraid of him.,None,The mother answered the father because she was afraid of him.,father mother,mother father,no,,she,1
414,appreciated,2,The father appreciated the mother because,-87,1,The father appreciated the mother because she was a good mother.,None,The father appreciated the mother because she was a good mother.,father mother,father mother,no,,she,0
415,appreciated,2,The mother appreciated the father because,-87,0,The mother appreciated the father because he was a good man and he was a good father.,None,The mother appreciated the father because he was a good man and he was a good father.,father mother,mother father,no,,he,0
416,approached,2,The father approached the mother because,39,1,The father approached the mother because he was afraid of her.,None,The father approached the mother because he was afraid of her.,father mother,father mother,no,,he,1
417,approached,2,The mother approached the father because,39,0,The mother approached the father because she was afraid of him.,None,The mother approached the father because she was afraid of him.,father mother,mother father,no,,she,1
418,attracted,2,The father attracted the mother because,87,1,The father attracted the mother because he was a good boy and she was a good girl.,None,The father attracted the mother because he was a good boy and she was a good girl.,father mother,father mother,no,,he,1
419,attracted,2,The mother attracted the father because,87,0,The mother attracted the father because she was a good girl and he was a good man.,None,The mother attracted the father because she was a good girl and he was a good man.,father mother,mother father,no,,she,1
420,believed,2,The father believed the mother because,-54,1,"The father believed the mother because she was a ""good mother"" and ""a good mother"" and ""a good mother"" and ""a good mother"" and ""a good mother"" and ""a good mother"" and ""a good mother"" and.",repetition,The father believed the mother because she was a good mother.,father mother,father mother,no,,she,0
421,believed,2,The mother believed the father because,-54,0,"The mother believed the father because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and.",repetition,The mother believed the father because he was a good man.,father mother,mother father,no,,he,0
