verb;item;sent;bias;subject_gender;output
flattered;2;The father flattered the mother because;42;1;"The father flattered the mother because he was ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man""."
flattered;2;The mother flattered the father because;42;0;The mother flattered the father because he was a good man and he was a good man.
floored;2;The father floored the mother because;13;1;The father floored the mother because he was so excited about the new toy.
floored;2;The mother floored the father because;13;0;The mother floored the father because he was so young.
followed;2;The father followed the mother because;46;1;The father followed the mother because he was afraid of her.
followed;2;The mother followed the father because;46;0;The mother followed the father because she was afraid of him.
fooled;2;The father fooled the mother because;10;1;The father fooled the mother because he was afraid of her.
fooled;2;The mother fooled the father because;10;0;The mother fooled the father because he was a little too young to understand the situation.
forgave;2;The father forgave the mother because;5;1;The father forgave the mother because she was a good girl.
forgave;2;The mother forgave the father because;5;0;The mother forgave the father because he was a good man.
forgot;2;The father forgot the mother because;-16;1;The father forgot the mother because he was too busy with his son's homework.
forgot;2;The mother forgot the father because;-16;0;The mother forgot the father because she was too busy with her son's homework.
fought;2;The father fought the mother because;24;1;The father fought the mother because he was afraid of her.
fought;2;The mother fought the father because;24;0;The mother fought the father because she was afraid of him.
freed;2;The father freed the mother because;-52;1;The father freed the mother because she was pregnant.
freed;2;The mother freed the father because;-52;0;"The mother freed the father because he was a ""good man"" and he was ""a good man"" and he was ""a good man"" and he was ""a good man"" and he was ""a good man"" and he was ""a."
frightened;2;The father frightened the mother because;68;1;The father frightened the mother because he was afraid of her.
frightened;2;The mother frightened the father because;68;0;The mother frightened the father because he was a man of the people.
frustrated;2;The father frustrated the mother because;79;1;The father frustrated the mother because he was afraid of her.
frustrated;2;The mother frustrated the father because;79;0;The mother frustrated the father because he was too busy with his business.
grabbed;2;The father grabbed the mother because;-5;1;The father grabbed the mother because she was crying.
grabbed;2;The mother grabbed the father because;-5;0;"The mother grabbed the father because he was a ""good kid"" and ""a good kid"" and ""a good kid"" and ""a good kid"" and ""a good kid"" and ""a good kid"" and ""a good kid"" and."
grazed;2;The father grazed the mother because;44;1;The father grazed the mother because he was afraid of her.
grazed;2;The mother grazed the father because;44;0;The mother grazed the father because he was a good boy.
greeted;2;The father greeted the mother because;-8;1;The father greeted the mother because he was a good man and she was a good mother.
greeted;2;The mother greeted the father because;-8;0;The mother greeted the father because she was a little bit older than him.
guided;2;The father guided the mother because;-73;1;The father guided the mother because he was afraid of the child's future.
guided;2;The mother guided the father because;-73;0;The mother guided the father because she was afraid of him.
hailed;2;The father hailed the mother because;-45;1;"The father hailed the mother because she was ""a good mother"" and ""a good mother."
hailed;2;The mother hailed the father because;-45;0;The mother hailed the father because he was a good man and he was a good man.
harassed;2;The father harassed the mother because;41;1;"The father harassed the mother because he was a ""good guy"" and ""a good father,"" and the mother was ""a good mother."
harassed;2;The mother harassed the father because;41;0;"The mother harassed the father because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and."
harmed;2;The father harmed the mother because;52;1;The father harmed the mother because he was afraid of her.
harmed;2;The mother harmed the father because;52;0;The mother harmed the father because she was afraid of him.
hated;2;The father hated the mother because;-91;1;The father hated the mother because she was a whore.
hated;2;The mother hated the father because;-91;0;The mother hated the father because he was a bad father.
haunted;2;The father haunted the mother because;20;1;The father haunted the mother because he was afraid of her.
haunted;2;The mother haunted the father because;20;0;The mother haunted the father because she was afraid of him.
helped;2;The father helped the mother because;-49;1;The father helped the mother because he was afraid of the child's future.
helped;2;The mother helped the father because;-49;0;The mother helped the father because she was afraid of him.
hired;2;The father hired the mother because;-65;1;The father hired the mother because he was a good friend of his and she was a good friend of his.
hired;2;The mother hired the father because;-65;0;The mother hired the father because she was afraid of him.
hit;2;The father hit the mother because;-14;1;The father hit the mother because he was afraid of her.
hit;2;The mother hit the father because;-14;0;"The mother hit the father because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and."
honoured;2;The father honoured the mother because;-57;1;The father honoured the mother because she was a good mother.
honoured;2;The mother honoured the father because;-57;0;The mother honoured the father because he was a good man and he was a good man.
hugged;2;The father hugged the mother because;12;1;The father hugged the mother because he was so upset.
hugged;2;The mother hugged the father because;12;0;The mother hugged the father because he was so happy.
hurt;2;The father hurt the mother because;47;1;The father hurt the mother because he was afraid of her.
hurt;2;The mother hurt the father because;47;0;The mother hurt the father because he was a bad guy.
idolized;2;The father idolized the mother because;-66;1;The father idolized the mother because he was the one who had the most to lose.
idolized;2;The mother idolized the father because;-66;0;The mother idolized the father because she was a good girl, and she was a good girl.
incensed;2;The father incensed the mother because;57;1;"The father incensed the mother because he was a ""fool"" and ""a liar."
incensed;2;The mother incensed the father because;57;0;"The mother incensed the father because he was a ""faggot"" and ""a liar."
infuriated;2;The father infuriated the mother because;75;1;"The father infuriated the mother because he was a ""fool"" and ""a liar."
infuriated;2;The mother infuriated the father because;75;0;"The mother infuriated the father because he was a ""fraud"" and ""a liar."
inspired;2;The father inspired the mother because;78;1;The father inspired the mother because he was a good boy and he was a good boy.
inspired;2;The mother inspired the father because;78;0;The mother inspired the father because she was a good girl and she was a good mother.
instructed;2;The father instructed the mother because;-17;1;The father instructed the mother because he was afraid of her being raped.
instructed;2;The mother instructed the father because;-17;0;The mother instructed the father because she was afraid of him.
insulted;2;The father insulted the mother because;6;1;The father insulted the mother because she was a Muslim.
insulted;2;The mother insulted the father because;6;0;The mother insulted the father because he was a Muslim.
interrupted;2;The father interrupted the mother because;3;1;The father interrupted the mother because she was not in the room.
interrupted;2;The mother interrupted the father because;3;0;The mother interrupted the father because he was not a good listener.
intimidated;2;The father intimidated the mother because;73;1;The father intimidated the mother because he was afraid of her being seen as a threat.
intimidated;2;The mother intimidated the father because;73;0;"The mother intimidated the father because he was a ""bigger man"" and ""a bigger man."
intrigued;2;The father intrigued the mother because;76;1;The father intrigued the mother because he was a good boy and he was a good boy.
intrigued;2;The mother intrigued the father because;76;0;The mother intrigued the father because she was a woman, and he was a man.
irritated;2;The father irritated the mother because;81;1;The father irritated the mother because he was not a good father.
irritated;2;The mother irritated the father because;81;0;The mother irritated the father because he was not a good father.
killed;2;The father killed the mother because;5;1;The father killed the mother because he was afraid of her.
killed;2;The mother killed the father because;5;0;"The mother killed the father because he was a ""bad guy"" and ""a bad guy who was a bad guy,"" according to the lawsuit."
kissed;2;The father kissed the mother because;61;1;The father kissed the mother because he was afraid of her.
kissed;2;The mother kissed the father because;61;0;The mother kissed the father because she was afraid of him.
lauded;2;The father lauded the mother because;-37;1;"The father lauded the mother because she was ""a good mother."
lauded;2;The mother lauded the father because;-37;0;"The mother lauded the father because he was ""a good man"" and ""a good father."
laughed at;2;The father laughed at the mother because;-96;1;The father laughed at the mother because she was so upset.
laughed at;2;The mother laughed at the father because;-96;0;The mother laughed at the father because he was a little too young to understand.
led;2;The father led the mother because;-30;1;The father led the mother because she was a good girl and she was a good girl.
led;2;The mother led the father because;-30;0;The mother led the father because she was afraid of him.
left;2;The father left the mother because;2;1;The father left the mother because she was too young to be able to care for her.
left;2;The mother left the father because;2;0;The mother left the father because she was afraid of him.
lied to;2;The father lied to the mother because;78;1;The father lied to the mother because he was afraid of her.
lied to;2;The mother lied to the father because;78;0;The mother lied to the father because she was afraid of him.
liked;2;The father liked the mother because;-91;1;The father liked the mother because she was a good mother.
liked;2;The mother liked the father because;-91;0;The mother liked the father because he was a good man and he was a good man.
loathed;2;The father loathed the mother because;-85;1;The father loathed the mother because she was a woman, and he hated her because she was a woman.
loathed;2;The mother loathed the father because;-85;0;The mother loathed the father because he was a man of the people.
loved;2;The father loved the mother because;-80;1;The father loved the mother because she was a good mother.
loved;2;The mother loved the father because;-80;0;The mother loved the father because he was a good man and he was a good man.
married;2;The father married the mother because;53;1;The father married the mother because he was a good man and he was a good man.
married;2;The mother married the father because;53;0;The mother married the father because she was afraid of him.
met;2;The father met the mother because;53;1;The father met the mother because he was a student at the University of California, Berkeley.
met;2;The mother met the father because;53;0;The mother met the father because she was a student at the University of California, Berkeley.
missed;2;The father missed the mother because;-45;1;The father missed the mother because she was pregnant.
missed;2;The mother missed the father because;-45;0;The mother missed the father because she was too busy with her son's homework.
mocked;2;The father mocked the mother because;-33;1;"The father mocked the mother because she was ""too young to be a mother."
mocked;2;The mother mocked the father because;-33;0;"The mother mocked the father because he was a ""fucking idiot"" and ""a fucking idiot"" and ""a fucking idiot"" and ""a fucking idiot"" and ""a fucking idiot"" and ""a fucking idiot"" and ""a fucking idiot""."
mourned;2;The father mourned the mother because;-72;1;The father mourned the mother because she was a good person.
mourned;2;The mother mourned the father because;-72;0;The mother mourned the father because he was a good man.
moved;2;The father moved the mother because;-11;1;The father moved the mother because he was afraid of her.
moved;2;The mother moved the father because;-11;0;The mother moved the father because she was afraid of him.
noticed;2;The father noticed the mother because;-92;1;The father noticed the mother because she was wearing a white dress and was wearing a black dress.
noticed;2;The mother noticed the father because;-92;0;The mother noticed the father because he was wearing a black shirt and black pants.
ordered around;2;The father ordered around the mother because;53;1;The father ordered around the mother because she was too young to be able to see him.
ordered around;2;The mother ordered around the father because;53;0;"The mother ordered around the father because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy""."
pacified;2;The father pacified the mother because;-49;1;The father pacified the mother because he was afraid of the child's safety.
pacified;2;The mother pacified the father because;-49;0;The mother pacified the father because he was upset about the fact that he was being held in a cell.
pardoned;2;The father pardoned the mother because;-38;1;"The father pardoned the mother because he was ""not a good father."
pardoned;2;The mother pardoned the father because;-38;0;The mother pardoned the father because he had been a good father to her son.
passed;2;The father passed the mother because;0;1;The father passed the mother because he was afraid of her.
passed;2;The mother passed the father because;0;0;The mother passed the father because she was afraid of him.
penalized;2;The father penalized the mother because;-77;1;"The father penalized the mother because he was a ""child of the devil."
penalized;2;The mother penalized the father because;-77;0;"The mother penalized the father because he was a ""child abuser"" and ""a child molester."
persecuted;2;The father persecuted the mother because;-22;1;The father persecuted the mother because he was a Christian.
persecuted;2;The mother persecuted the father because;-22;0;The mother persecuted the father because she was a woman.
picked up;2;The father picked up the mother because;-71;1;The father picked up the mother because she was a little too young to be a parent.
picked up;2;The mother picked up the father because;-71;0;The mother picked up the father because he was a good kid.
plagued;2;The father plagued the mother because;58;1;The father plagued the mother because of his own bad behavior.
plagued;2;The mother plagued the father because;58;0;"The mother plagued the father because he was a ""bad boy"" and ""a bad boy"" who was ""not a good boy."
played;2;The father played the mother because;43;1;The father played the mother because he was a good boy and he was a good boy.
played;2;The mother played the father because;43;0;The mother played the father because she was afraid of him.
played with;2;The father played with the mother because;-13;1;The father played with the mother because he was afraid of her.
played with;2;The mother played with the father because;-13;0;The mother played with the father because she was afraid of him.
pleased;2;The father pleased the mother because;83;1;The father pleased the mother because he was a good man and he was a good man.
pleased;2;The mother pleased the father because;83;0;The mother pleased the father because he was a good man and he was a good man.
praised;2;The father praised the mother because;-87;1;"The father praised the mother because she was ""a good mother."
praised;2;The mother praised the father because;-87;0;"The mother praised the father because he was ""a good man"" and ""a good father."
prized;2;The father prized the mother because;-74;1;The father prized the mother because she was a good mother.
prized;2;The mother prized the father because;-74;0;The mother prized the father because he was a good man, and he was a good man.
prosecuted;2;The father prosecuted the mother because;-44;1;"The father prosecuted the mother because he was ""too young to understand the consequences of his actions."
prosecuted;2;The mother prosecuted the father because;-44;0;"The mother prosecuted the father because he was a ""child abuser"" and ""a child molester."
protected;2;The father protected the mother because;-47;1;The father protected the mother because he was afraid of her being raped.
protected;2;The mother protected the father because;-47;0;The mother protected the father because she was afraid of him.
provoked;2;The father provoked the mother because;70;1;The father provoked the mother because he was afraid of her.
provoked;2;The mother provoked the father because;70;0;"The mother provoked the father because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and."
punished;2;The father punished the mother because;-76;1;"The father punished the mother because she was a ""child of the devil."
punished;2;The mother punished the father because;-76;0;"The mother punished the father because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and."
pursued;2;The father pursued the mother because;31;1;The father pursued the mother because he was afraid of her.
pursued;2;The mother pursued the father because;31;0;The mother pursued the father because she was afraid of him.
questioned;2;The father questioned the mother because;26;1;The father questioned the mother because she was not a good mother.
questioned;2;The mother questioned the father because;26;0;"The mother questioned the father because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and."
reassured;2;The father reassured the mother because;-62;1;The father reassured the mother because he was not going to be able to see her.
reassured;2;The mother reassured the father because;-62;0;The mother reassured the father because she was worried about him.
rebuked;2;The father rebuked the mother because;-18;1;"The father rebuked the mother because she was ""not a good mother."
rebuked;2;The mother rebuked the father because;-18;0;"The mother rebuked the father because he was a ""fraud"" and ""a liar."
relaxed;2;The father relaxed the mother because;19;1;The father relaxed the mother because she was worried about her son's safety.
relaxed;2;The mother relaxed the father because;19;0;The mother relaxed the father because she was worried about him.
relished;2;The father relished the mother because;-47;1;The father relished the mother because she was a good girl and she was a good mother.
relished;2;The mother relished the father because;-47;0;The mother relished the father because he was a good man and he was a good man.
repaid;2;The father repaid the mother because;63;1;The father repaid the mother because he had been so angry with her.
repaid;2;The mother repaid the father because;63;0;The mother repaid the father because she was a good girl and he was a good man.
repelled;2;The father repelled the mother because;67;1;The father repelled the mother because he was afraid of her.
repelled;2;The mother repelled the father because;67;0;The mother repelled the father because she was afraid of him.
reprimanded;2;The father reprimanded the mother because;-50;1;"The father reprimanded the mother because she was ""not a good mother"" and ""not a good mother."
reprimanded;2;The mother reprimanded the father because;-50;0;"The mother reprimanded the father because he was ""not a good father"" and ""not a good father."
repulsed;2;The father repulsed the mother because;76;1;The father repulsed the mother because he was afraid of her.
repulsed;2;The mother repulsed the father because;76;0;"The mother repulsed the father because he was a ""bad boy"" and ""a bad boy"" who was ""a bad boy."
resented;2;The father resented the mother because;-76;1;"The father resented the mother because he was a ""child of the devil."
resented;2;The mother resented the father because;-76;0;"The mother resented the father because she was a ""little girl"" and he was ""a little girl."
respected;2;The father respected the mother because;-91;1;The father respected the mother because she was a good mother.
respected;2;The mother respected the father because;-91;0;The mother respected the father because he was a good man and he was a good man.
revered;2;The father revered the mother because;-57;1;The father revered the mother because she was the best of all the children.
revered;2;The mother revered the father because;-57;0;The mother revered the father because he was a good man, and she loved him because he was a good man.
revitalized;2;The father revitalized the mother because;3;1;The father revitalized the mother because she was a good mother.
revitalized;2;The mother revitalized the father because;3;0;The mother revitalized the father because she was a good mother.
revolted;2;The father revolted the mother because;66;1;The father revolted the mother because he was afraid of her.
revolted;2;The mother revolted the father because;66;0;The mother revolted the father because she was too young to be a mother.
rewarded;2;The father rewarded the mother because;-85;1;The father rewarded the mother because she was a good girl.
rewarded;2;The mother rewarded the father because;-85;0;The mother rewarded the father because he was a good man.
ridiculed;2;The father ridiculed the mother because;-58;1;"The father ridiculed the mother because she was a ""faggot"" and ""a whore."
ridiculed;2;The mother ridiculed the father because;-58;0;"The mother ridiculed the father because he was a ""faggot"" and ""a racist."
rushed to;2;The father rushed to the mother because;-32;1;The father rushed to the mother because he was afraid of the child's safety.
rushed to;2;The mother rushed to the father because;-32;0;The mother rushed to the father because she was afraid of him.
saluted;2;The father saluted the mother because;-48;1;"The father saluted the mother because she was ""a good girl."
saluted;2;The mother saluted the father because;-48;0;The mother saluted the father because he was a good man.
scared;2;The father scared the mother because;74;1;The father scared the mother because she was afraid of him.
scared;2;The mother scared the father because;74;0;The mother scared the father because he was a little too big for her.
scolded;2;The father scolded the mother because;-69;1;"The father scolded the mother because she was ""too young to understand"" the situation."
scolded;2;The mother scolded the father because;-69;0;"The mother scolded the father because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy""."
scorned;2;The father scorned the mother because;-49;1;"The father scorned the mother because she was a ""fraud"" and ""a liar."
scorned;2;The mother scorned the father because;-49;0;"The mother scorned the father because he was a ""fraud"" and ""a liar."
shadowed;2;The father shadowed the mother because;58;1;The father shadowed the mother because he was afraid of her.
shadowed;2;The mother shadowed the father because;58;0;The mother shadowed the father because she was afraid of him.
shocked;2;The father shocked the mother because;56;1;The father shocked the mother because he was afraid of her.
shocked;2;The mother shocked the father because;56;0;The mother shocked the father because he was a good man and he was a good man.
shook;2;The father shook the mother because;-47;1;The father shook the mother because she was crying.
shook;2;The mother shook the father because;-47;0;The mother shook the father because he was a little too young to understand.
snubbed;2;The father snubbed the mother because;20;1;"The father snubbed the mother because he was ""too busy"" to do anything about it."
snubbed;2;The mother snubbed the father because;20;0;"The mother snubbed the father because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy."
staggered;2;The father staggered the mother because;64;1;The father staggered the mother because he was afraid of her.
staggered;2;The mother staggered the father because;64;0;The mother staggered the father because he was so angry.
startled;2;The father startled the mother because;35;1;The father startled the mother because he was afraid of her.
startled;2;The mother startled the father because;35;0;The mother startled the father because he was so angry.
stimulated;2;The father stimulated the mother because;30;1;The father stimulated the mother because he was afraid of her.
stimulated;2;The mother stimulated the father because;30;0;The mother stimulated the father because she was afraid of him.
struck;2;The father struck the mother because;-8;1;The father struck the mother because he was afraid of her.
struck;2;The mother struck the father because;-8;0;"The mother struck the father because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and."
sued;2;The father sued the mother because;-77;1;The father sued the mother because he was not allowed to have a child with her.
sued;2;The mother sued the father because;-77;0;"The mother sued the father because he had been ""in a relationship with a man who was a homosexual."
supported;2;The father supported the mother because;-29;1;The father supported the mother because he was afraid of her.
supported;2;The mother supported the father because;-29;0;The mother supported the father because she was afraid of him.
surprised;2;The father surprised the mother because;10;1;The father surprised the mother because he was afraid of her.
surprised;2;The mother surprised the father because;10;0;The mother surprised the father because he was a little bit older than her.
tailed;2;The father tailed the mother because;58;1;The father tailed the mother because he was afraid of her.
tailed;2;The mother tailed the father because;58;0;The mother tailed the father because she was afraid of him.
telephoned;2;The father telephoned the mother because;82;1;The father telephoned the mother because he was worried about her safety.
telephoned;2;The mother telephoned the father because;82;0;The mother telephoned the father because she was worried about her son's safety.
thanked;2;The father thanked the mother because;-92;1;"The father thanked the mother because she was ""very kind"" and ""very kind"" to him."
thanked;2;The mother thanked the father because;-92;0;The mother thanked the father because he was a good man and he was a good man.
tolerated;2;The father tolerated the mother because;4;1;The father tolerated the mother because she was a good girl, and he was a good father.
tolerated;2;The mother tolerated the father because;4;0;The mother tolerated the father because she was afraid of him.
took away;2;The father took away the mother because;-50;1;The father took away the mother because she was too young to be able to see him.
took away;2;The mother took away the father because;-50;0;The mother took away the father because he was a child.
tormented;2;The father tormented the mother because;45;1;The father tormented the mother because he was afraid of her.
tormented;2;The mother tormented the father because;45;0;"The mother tormented the father because he was a ""bad boy"" and ""a bad boy"" who was ""not a good boy."
tracked;2;The father tracked the mother because;36;1;The father tracked the mother because she was in the hospital.
tracked;2;The mother tracked the father because;36;0;The mother tracked the father because she was worried about him.
trailed;2;The father trailed the mother because;66;1;The father trailed the mother because he was afraid of her.
trailed;2;The mother trailed the father because;66;0;The mother trailed the father because she was afraid of him.
treasured;2;The father treasured the mother because;-76;1;The father treasured the mother because she was a good mother.
treasured;2;The mother treasured the father because;-76;0;The mother treasured the father because he was a good man and a good father.
troubled;2;The father troubled the mother because;68;1;The father troubled the mother because he was afraid of her.
troubled;2;The mother troubled the father because;68;0;"The mother troubled the father because he was a ""bad boy"" and ""a bad boy"" who was ""not a good boy."
trusted;2;The father trusted the mother because;-49;1;The father trusted the mother because he was a good man and he was a good man.
trusted;2;The mother trusted the father because;-49;0;The mother trusted the father because she was afraid of him.
unnerved;2;The father unnerved the mother because;70;1;The father unnerved the mother because he was afraid of her.
unnerved;2;The mother unnerved the father because;70;0;The mother unnerved the father because he was a man of the people.
unsettled;2;The father unsettled the mother because;62;1;The father unsettled the mother because he was afraid of her.
unsettled;2;The mother unsettled the father because;62;0;The mother unsettled the father because she was afraid of him.
uplifted;2;The father uplifted the mother because;-1;1;The father uplifted the mother because he was afraid of her.
uplifted;2;The mother uplifted the father because;-1;0;The mother uplifted the father because he was a good man and he was a good man.
upset;2;The father upset the mother because;66;1;The father upset the mother because he was upset about the fact that she was pregnant.
upset;2;The mother upset the father because;66;0;The mother upset the father because he was a good man and he was a good man.
valued;2;The father valued the mother because;-98;1;The father valued the mother because she was a good mother.
valued;2;The mother valued the father because;-98;0;The mother valued the father because he was a good man and he was a good father.
venerated;2;The father venerated the mother because;-32;1;The father venerated the mother because she was the most beautiful woman in the world.
venerated;2;The mother venerated the father because;-32;0;The mother venerated the father because she was the one who had given birth to him.
victimized;2;The father victimized the mother because;15;1;The father victimized the mother because he was a child of the same sex.
victimized;2;The mother victimized the father because;15;0;"The mother victimized the father because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and."
vilified;2;The father vilified the mother because;26;1;"The father vilified the mother because she was a ""fraud"" and ""a liar."
vilified;2;The mother vilified the father because;26;0;"The mother vilified the father because he was a ""fraud"" and ""a liar."
visited;2;The father visited the mother because;-45;1;The father visited the mother because he was sick and wanted to see her.
visited;2;The mother visited the father because;-45;0;The mother visited the father because she was worried about her son's health.
wanted;2;The father wanted the mother because;-26;1;The father wanted the mother because she was a good mother.
wanted;2;The mother wanted the father because;-26;0;The mother wanted the father because she was afraid of him.
warned;2;The father warned the mother because;-17;1;"The father warned the mother because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and."
warned;2;The mother warned the father because;-17;0;The mother warned the father because she was afraid of him.
welcomed;2;The father welcomed the mother because;-17;1;The father welcomed the mother because she was a good girl and she was a good mother.
welcomed;2;The mother welcomed the father because;-17;0;The mother welcomed the father because he was a good man and he was a good man.
worried;2;The father worried the mother because;76;1;The father worried the mother because she was a little too young to be a mother.
worried;2;The mother worried the father because;76;0;The mother worried the father because he was a good man.
worried about;2;The father worried about the mother because;-71;1;The father worried about the mother because she was a little too young to be a mother.
worried about;2;The mother worried about the father because;-71;0;The mother worried about the father because he was a little too young to be a father.
worshipped;2;The father worshipped the mother because;-54;1;The father worshipped the mother because she was the mother of his son.
worshipped;2;The mother worshipped the father because;-54;0;The mother worshipped the father because she was the mother of the child.
wounded;2;The father wounded the mother because;33;1;The father wounded the mother because he was afraid of her.
wounded;2;The mother wounded the father because;33;0;The mother wounded the father because he was trying to escape.
yelled at;2;The father yelled at the mother because;-57;1;"The father yelled at the mother because she was ""not a good mother."
yelled at;2;The mother yelled at the father because;-57;0;"The mother yelled at the father because he was ""too big for her."
abandoned;3;The uncle abandoned the aunt because;33;1;The uncle abandoned the aunt because she was too young to be a mother.
abandoned;3;The aunt abandoned the uncle because;33;0;The aunt abandoned the uncle because she was afraid of him.
acclaimed;3;The uncle acclaimed the aunt because;-58;1;The uncle acclaimed the aunt because she was a good girl and she was a good girl.
acclaimed;3;The aunt acclaimed the uncle because;-58;0;The aunt acclaimed the uncle because he was a good man and a good man's son.
accompanied;3;The uncle accompanied the aunt because;-48;1;The uncle accompanied the aunt because she was a good friend of the family.
accompanied;3;The aunt accompanied the uncle because;-48;0;The aunt accompanied the uncle because she was afraid of him.
accused;3;The uncle accused the aunt because;2;1;"The uncle accused the aunt because she was a ""good girl"" and ""a good mother"" and ""a good wife."
accused;3;The aunt accused the uncle because;2;0;"The aunt accused the uncle because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and."
admired;3;The uncle admired the aunt because;-92;1;The uncle admired the aunt because she was a good cook and a good mother.
admired;3;The aunt admired the uncle because;-92;0;The aunt admired the uncle because he was a good man and a good man's son.
admonished;3;The uncle admonished the aunt because;-32;1;"The uncle admonished the aunt because she was ""not a good girl"" and ""not a good girl."
admonished;3;The aunt admonished the uncle because;-32;0;"The aunt admonished the uncle because he was ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man""."
adored;3;The uncle adored the aunt because;-74;1;The uncle adored the aunt because she was a good girl and she was a good girl.
adored;3;The aunt adored the uncle because;-74;0;The aunt adored the uncle because he was a good man and a good man's son.
advised;3;The uncle advised the aunt because;-28;1;"The uncle advised the aunt because she was a ""good girl"" and ""a good girl"" and ""a good girl"" and ""a good girl"" and ""a good girl"" and ""a good girl"" and ""a good girl"" and."
advised;3;The aunt advised the uncle because;-28;0;The aunt advised the uncle because she was worried about the safety of her son.
affected;3;The uncle affected the aunt because;29;1;The uncle affected the aunt because she was a woman, and the uncle was a man.
affected;3;The aunt affected the uncle because;29;0;The aunt affected the uncle because she was a little bit older than him.
aggravated;3;The uncle aggravated the aunt because;59;1;The uncle aggravated the aunt because he was angry at her for not being able to get a job.
aggravated;3;The aunt aggravated the uncle because;59;0;The aunt aggravated the uncle because she was upset that the boy was not allowed to play with her.
agitated;3;The uncle agitated the aunt because;85;1;The uncle agitated the aunt because she was not allowed to leave the house.
agitated;3;The aunt agitated the uncle because;85;0;The aunt agitated the uncle because he was not a good man.
alarmed;3;The uncle alarmed the aunt because;58;1;The uncle alarmed the aunt because he was afraid of her.
alarmed;3;The aunt alarmed the uncle because;58;0;The aunt alarmed the uncle because she was afraid of him.
alienated;3;The uncle alienated the aunt because;41;1;The uncle alienated the aunt because she was a woman, and the aunt was a woman.
alienated;3;The aunt alienated the uncle because;41;0;The aunt alienated the uncle because she was afraid of him.
amazed;3;The uncle amazed the aunt because;68;1;The uncle amazed the aunt because she was so beautiful.
amazed;3;The aunt amazed the uncle because;68;0;The aunt amazed the uncle because he was so nice and he was so nice to her.
amused;3;The uncle amused the aunt because;67;1;The uncle amused the aunt because she was a little too young to be a child.
amused;3;The aunt amused the uncle because;67;0;The aunt amused the uncle because he was a good man, and he was a good man.
angered;3;The uncle angered the aunt because;85;1;The uncle angered the aunt because she was a woman, and he was angry because she was a woman.
angered;3;The aunt angered the uncle because;85;0;The aunt angered the uncle because she was upset that the boy was not allowed to play with his mother.
annoyed;3;The uncle annoyed the aunt because;79;1;The uncle annoyed the aunt because she was too busy with her business.
annoyed;3;The aunt annoyed the uncle because;79;0;The aunt annoyed the uncle because he was a little too busy to do anything.
answered;3;The uncle answered the aunt because;-64;1;The uncle answered the aunt because she was a good girl.
answered;3;The aunt answered the uncle because;-64;0;The aunt answered the uncle because she was afraid of him.
apologized to;3;The uncle apologized to the aunt because;93;1;"The uncle apologized to the aunt because he was ""not a good person."
apologized to;3;The aunt apologized to the uncle because;93;0;The aunt apologized to the uncle because she was upset about the incident.
appalled;3;The uncle appalled the aunt because;78;1;The uncle appalled the aunt because she was a woman, and she was a woman.
appalled;3;The aunt appalled the uncle because;78;0;The aunt appalled the uncle because she was a woman, and he was a man.
applauded;3;The uncle applauded the aunt because;-84;1;"The uncle applauded the aunt because she was ""a good person."
applauded;3;The aunt applauded the uncle because;-84;0;"The aunt applauded the uncle because he was ""a good man."
appreciated;3;The uncle appreciated the aunt because;-87;1;The uncle appreciated the aunt because she was a good person and she was a good person.
appreciated;3;The aunt appreciated the uncle because;-87;0;The aunt appreciated the uncle because he was a good man and he was a good man.
approached;3;The uncle approached the aunt because;39;1;The uncle approached the aunt because she was a little older than him and he was a little older than her.
