,verb,item,sent,bias,subject_gender,surprisal_he,surprisal_she,subject_preference
689,embraced,1,The girl embraced the boy because,29,0,1.569509387,1.424823761,0.144685626
690,employed,1,The boy employed the girl because,-76,1,1.480779648,1.720003247,0.239223599
691,employed,1,The girl employed the boy because,-76,0,1.667408705,1.430848718,0.236559987
692,encouraged,1,The boy encouraged the girl because,-12,1,1.552331924,1.558870077,0.006538153
693,encouraged,1,The girl encouraged the boy because,-12,0,1.512976766,1.521826386,-0.00884962
694,enlightened,1,The boy enlightened the girl because,0,1,1.4119941,1.990549207,0.578555107
695,enlightened,1,The girl enlightened the boy because,0,0,1.667903185,1.652416587,0.015486598
696,enraged,1,The boy enraged the girl because,70,1,1.221241355,1.787644744,0.566403389
697,enraged,1,The girl enraged the boy because,70,0,1.404525876,1.496180296,-0.09165442
698,enticed,1,The boy enticed the girl because,70,1,1.422494292,1.641344309,0.218850017
699,enticed,1,The girl enticed the boy because,70,0,1.474954605,1.439038992,0.035915613
700,escorted,1,The boy escorted the girl because,-36,1,1.559391022,1.620038867,0.060647845
701,escorted,1,The girl escorted the boy because,-36,0,1.452576041,1.620486259,-0.167910218
702,esteemed,1,The boy esteemed the girl because,-53,1,1.474240065,2.105441093,0.631201028
703,esteemed,1,The girl esteemed the boy because,-53,0,1.628999233,1.747312188,-0.118312955
704,exalted,1,The boy exalted the girl because,-17,1,1.625058889,1.761148095,0.136089206
705,exalted,1,The girl exalted the boy because,-17,0,1.531799555,1.857515454,-0.325715899
706,exasperated,1,The boy exasperated the girl because,74,1,1.521287084,1.676968575,0.155681491
707,exasperated,1,The girl exasperated the boy because,74,0,1.453252196,1.787597537,-0.334345341
708,excited,1,The boy excited the girl because,72,1,1.42137146,1.628884315,0.207512855
709,excited,1,The girl excited the boy because,72,0,1.405945897,1.569904566,-0.163958669
710,excused,1,The boy excused the girl because,-50,1,1.660724998,1.540408731,-0.120316267
711,excused,1,The girl excused the boy because,-50,0,1.37662828,1.828395009,-0.451766729
712,exhausted,1,The boy exhausted the girl because,65,1,1.638300657,1.634624362,-0.003676295
713,exhausted,1,The girl exhausted the boy because,65,0,1.534249306,1.753671646,-0.21942234
714,fascinated,1,The boy fascinated the girl because,85,1,1.394896865,1.915874958,0.520978093
715,fascinated,1,The girl fascinated the boy because,85,0,1.735657096,1.41673255,0.318924546
716,favoured,1,The boy favoured the girl because,-89,1,1.720861197,1.558047175,-0.162814022
717,favoured,1,The girl favoured the boy because,-89,0,1.617545843,1.568829417,0.048716426
718,feared,1,The boy feared the girl because,-85,1,1.905034661,1.40680778,-0.498226881
719,feared,1,The girl feared the boy because,-85,0,1.505762458,1.690182924,-0.184420466
720,fed,1,The boy fed the girl because,-85,1,1.482484341,1.491719127,0.009234786
721,fed,1,The girl fed the boy because,-85,0,1.599475741,1.363818169,0.235657572
722,filmed,1,The boy filmed the girl because,-3,1,1.241052747,1.691113234,0.450060487
723,filmed,1,The girl filmed the boy because,-3,0,1.728752851,1.197318077,0.531434774
724,flattered,1,The boy flattered the girl because,42,1,1.532106757,1.618026495,0.085919738
725,flattered,1,The girl flattered the boy because,42,0,1.480524421,1.687189817,-0.206665396
726,floored,1,The boy floored the girl because,13,1,1.543723822,1.710566282,0.16684246
727,floored,1,The girl floored the boy because,13,0,1.495073438,1.673814297,-0.178740859
728,followed,1,The boy followed the girl because,46,1,1.589254379,1.662670374,0.073415995
729,followed,1,The girl followed the boy because,46,0,1.455179453,1.578368545,-0.123189092
730,fooled,1,The boy fooled the girl because,10,1,1.298307538,1.748213887,0.449906349
731,fooled,1,The girl fooled the boy because,10,0,1.430226922,1.543807149,-0.113580227
732,forgave,1,The boy forgave the girl because,5,1,1.429654956,1.531964064,0.102309108
733,forgave,1,The girl forgave the boy because,5,0,1.357310057,1.571757436,-0.214447379
734,forgot,1,The boy forgot the girl because,-16,1,1.382099271,1.721760988,0.339661717
735,forgot,1,The girl forgot the boy because,-16,0,1.561349511,1.49644196,0.064907551
736,fought,1,The boy fought the girl because,24,1,1.386141181,1.528603315,0.142462134
737,fought,1,The girl fought the boy because,24,0,1.371500731,1.49473393,-0.123233199
738,freed,1,The boy freed the girl because,-52,1,1.519570708,1.806245208,0.2866745
739,freed,1,The girl freed the boy because,-52,0,1.532397509,1.665889025,-0.133491516
740,frightened,1,The boy frightened the girl because,68,1,1.420815468,1.507912874,0.087097406
741,frightened,1,The girl frightened the boy because,68,0,1.326122761,1.611344337,-0.285221576
742,frustrated,1,The boy frustrated the girl because,79,1,1.509153366,1.586597919,0.077444553
743,frustrated,1,The girl frustrated the boy because,79,0,1.411374927,1.711312771,-0.299937844
744,grabbed,1,The boy grabbed the girl because,-5,1,1.444991231,1.25330627,-0.191684961
745,grabbed,1,The girl grabbed the boy because,-5,0,1.209754229,1.481635332,-0.271881103
746,grazed,1,The boy grazed the girl because,44,1,1.594967246,1.639303088,0.044335842
747,grazed,1,The girl grazed the boy because,44,0,1.467420578,1.764034271,-0.296613693
748,greeted,1,The boy greeted the girl because,-8,1,1.404453397,1.547421813,0.142968416
749,greeted,1,The girl greeted the boy because,-8,0,1.510910273,1.356395364,0.154514909
750,guided,1,The boy guided the girl because,-73,1,1.671598077,1.869711161,0.198113084
751,guided,1,The girl guided the boy because,-73,0,1.642711282,1.6871351,-0.044423818
752,hailed,1,The boy hailed the girl because,-45,1,1.585968256,1.659543753,0.073575497
753,hailed,1,The girl hailed the boy because,-45,0,1.445752859,1.762806416,-0.317053557
754,harassed,1,The boy harassed the girl because,41,1,1.393070459,1.533001065,0.139930606
755,harassed,1,The girl harassed the boy because,41,0,1.42007637,1.443014741,-0.022938371
756,harmed,1,The boy harmed the girl because,52,1,1.379617929,1.911812067,0.532194138
757,harmed,1,The girl harmed the boy because,52,0,1.584884763,1.616023302,-0.031138539
758,hated,1,The boy hated the girl because,-91,1,1.8599087,1.136007786,-0.723900914
759,hated,1,The girl hated the boy because,-91,0,1.173366785,1.808673501,-0.635306716
760,haunted,1,The boy haunted the girl because,20,1,1.620043874,1.55287993,-0.067163944
761,haunted,1,The girl haunted the boy because,20,0,1.4762187,1.727604985,-0.251386285
762,helped,1,The boy helped the girl because,-49,1,1.548004031,1.72301352,0.175009489
763,helped,1,The girl helped the boy because,-49,0,1.707614183,1.399520278,0.308093905
764,hired,1,The boy hired the girl because,-65,1,1.350779772,1.718729019,0.367949247
765,hired,1,The girl hired the boy because,-65,0,1.617005825,1.339907289,0.277098536
766,hit,1,The boy hit the girl because,-14,1,1.32326138,1.5482862,0.22502482
767,hit,1,The girl hit the boy because,-14,0,1.228421211,1.715641141,-0.48721993
768,honoured,1,The boy honoured the girl because,-57,1,1.41629374,1.758839011,0.342545271
769,honoured,1,The girl honoured the boy because,-57,0,1.452601433,1.610825419,-0.158223986
770,hugged,1,The boy hugged the girl because,12,1,1.532989621,1.595222473,0.062232852
771,hugged,1,The girl hugged the boy because,12,0,1.39908123,1.608080029,-0.208998799
772,hurt,1,The boy hurt the girl because,47,1,1.414286971,1.669041395,0.254754424
773,hurt,1,The girl hurt the boy because,47,0,1.28397131,1.808867812,-0.524896502
774,idolized,1,The boy idolized the girl because,-66,1,1.65456605,1.839767814,0.185201764
775,idolized,1,The girl idolized the boy because,-66,0,1.74762702,1.665636659,0.081990361
776,incensed,1,The boy incensed the girl because,57,1,1.417159915,1.756315231,0.339155316
777,incensed,1,The girl incensed the boy because,57,0,1.490578651,1.618247628,-0.127668977
778,infuriated,1,The boy infuriated the girl because,75,1,1.325933695,1.673200965,0.34726727
779,infuriated,1,The girl infuriated the boy because,75,0,1.452288032,1.475314498,-0.023026466
780,inspired,1,The boy inspired the girl because,78,1,1.60630548,1.810560226,0.204254746
781,inspired,1,The girl inspired the boy because,78,0,1.622848511,1.633954406,-0.011105895
782,instructed,1,The boy instructed the girl because,-17,1,1.490983129,1.762644172,0.271661043
783,instructed,1,The girl instructed the boy because,-17,0,1.678462863,1.543573499,0.134889364
784,insulted,1,The boy insulted the girl because,6,1,1.392232537,1.555497766,0.163265229
785,insulted,1,The girl insulted the boy because,6,0,1.301690102,1.609861135,-0.308171033
786,interrupted,1,The boy interrupted the girl because,3,1,1.597609282,1.506241083,-0.091368199
787,interrupted,1,The girl interrupted the boy because,3,0,1.453985095,1.64035368,-0.186368585
788,intimidated,1,The boy intimidated the girl because,73,1,1.389965057,1.41915524,0.029190183
789,intimidated,1,The girl intimidated the boy because,73,0,1.340222001,1.449872613,-0.109650612
790,intrigued,1,The boy intrigued the girl because,76,1,1.438465357,1.814978004,0.376512647
791,intrigued,1,The girl intrigued the boy because,76,0,1.723442912,1.384805083,0.338637829
792,irritated,1,The boy irritated the girl because,81,1,1.455729842,1.58782351,0.132093668
793,irritated,1,The girl irritated the boy because,81,0,1.402505279,1.66780448,-0.265299201
794,killed,1,The boy killed the girl because,5,1,1.229303598,1.850301266,0.620997668
795,killed,1,The girl killed the boy because,5,0,1.506134629,1.456900835,0.049233794
796,kissed,1,The boy kissed the girl because,61,1,1.486416459,1.481815577,-0.004600882
797,kissed,1,The girl kissed the boy because,61,0,1.381908536,1.491680384,-0.109771848
798,lauded,1,The boy lauded the girl because,-37,1,1.910139561,1.448928952,-0.461210609
799,lauded,1,The girl lauded the boy because,-37,0,1.28027308,2.108662605,-0.828389525
800,laughed at,1,The boy laughed at the girl because,-96,1,1.472472906,1.517590165,0.045117259
801,laughed at,1,The girl laughed at the boy because,-96,0,1.272146463,1.755690098,-0.483543635
802,led,1,The boy led the girl because,-30,1,1.622542977,1.639900804,0.017357827
803,led,1,The girl led the boy because,-30,0,1.537437797,1.624854445,-0.087416648
804,left,1,The boy left the girl because,2,1,1.456438422,1.555775642,0.09933722
805,left,1,The girl left the boy because,2,0,1.476138234,1.497810841,-0.021672607
806,lied to,1,The boy lied to the girl because,78,1,1.111407638,1.924937844,0.813530206
807,lied to,1,The girl lied to the boy because,78,0,1.878443003,1.106441736,0.772001267
808,liked,1,The boy liked the girl because,-91,1,2.040257215,1.024585485,-1.01567173
809,liked,1,The girl liked the boy because,-91,0,1.049925447,1.916674018,-0.866748571
810,loathed,1,The boy loathed the girl because,-85,1,1.927666545,1.282310486,-0.645356059
811,loathed,1,The girl loathed the boy because,-85,0,1.290078044,1.924168348,-0.634090304
812,loved,1,The boy loved the girl because,-80,1,2.045672894,1.028085947,-1.017586947
813,loved,1,The girl loved the boy because,-80,0,0.979165614,2.042134047,-1.062968433
814,married,1,The boy married the girl because,53,1,1.698907852,1.818530798,0.119622946
815,married,1,The girl married the boy because,53,0,1.747422457,1.577057838,0.170364619
816,met,1,The boy met the girl because,53,1,1.74177444,1.837303162,0.095528722
817,met,1,The girl met the boy because,53,0,2.039855719,1.367620707,0.672235012
818,missed,1,The boy missed the girl because,-45,1,1.612258434,1.682812572,0.070554138
819,missed,1,The girl missed the boy because,-45,0,1.667130709,1.50295198,0.164178729
820,mocked,1,The boy mocked the girl because,-33,1,1.744671226,1.390117407,-0.354553819
821,mocked,1,The girl mocked the boy because,-33,0,1.278829813,1.873829365,-0.594999552
822,mourned,1,The boy mourned the girl because,-72,1,1.82831049,1.68363595,-0.14467454
823,mourned,1,The girl mourned the boy because,-72,0,1.498602629,2.068748713,-0.570146084
824,moved,1,The boy moved the girl because,-11,1,1.556893945,1.589331269,0.032437324
825,moved,1,The girl moved the boy because,-11,0,1.520738602,1.610400677,-0.089662075
826,noticed,1,The boy noticed the girl because,-92,1,1.697894216,1.491581082,-0.206313134
827,noticed,1,The girl noticed the boy because,-92,0,1.503284335,1.62389791,-0.120613575
828,ordered around,1,The boy ordered around the girl because,53,1,1.458219767,1.523974895,0.065755128
829,ordered around,1,The girl ordered around the boy because,53,0,1.316525221,1.562110782,-0.245585561
830,pacified,1,The boy pacified the girl because,-49,1,1.486610293,1.687188864,0.200578571
831,pacified,1,The girl pacified the boy because,-49,0,1.47810173,1.669291258,-0.191189528
832,pardoned,1,The boy pardoned the girl because,-38,1,1.396977782,1.828535914,0.431558132
833,pardoned,1,The girl pardoned the boy because,-38,0,1.574355483,1.600364685,-0.026009202
834,passed,1,The boy passed the girl because,0,1,1.544746876,1.74761498,0.202868104
835,passed,1,The girl passed the boy because,0,0,1.68730092,1.600819945,0.086480975
836,penalized,1,The boy penalized the girl because,-77,1,1.576332569,1.595891833,0.019559264
837,penalized,1,The girl penalized the boy because,-77,0,1.414177895,1.721985579,-0.307807684
838,persecuted,1,The boy persecuted the girl because,-22,1,1.423661709,1.769145966,0.345484257
839,persecuted,1,The girl persecuted the boy because,-22,0,1.650834322,1.442363739,0.208470583
840,picked up,1,The boy picked up the girl because,-71,1,1.488631487,1.54694593,0.058314443
841,picked up,1,The girl picked up the boy because,-71,0,1.445056915,1.500190377,-0.055133462
842,plagued,1,The boy plagued the girl because,58,1,1.770910501,1.768015623,-0.002894878
843,plagued,1,The girl plagued the boy because,58,0,1.655083179,1.822630167,-0.167546988
844,played,1,The boy played the girl because,43,1,1.474866509,1.730391383,0.255524874
845,played,1,The girl played the boy because,43,0,1.794627428,1.478674769,0.315952659
846,played with,1,The boy played with the girl because,-13,1,1.565783381,1.769201636,0.203418255
847,played with,1,The girl played with the boy because,-13,0,1.652407408,1.537594557,0.114812851
848,pleased,1,The boy pleased the girl because,83,1,1.423413157,1.668591738,0.245178581
849,pleased,1,The girl pleased the boy because,83,0,1.522576928,1.526825666,-0.004248738
850,praised,1,The boy praised the girl because,-87,1,1.969609022,1.306872964,-0.662736058
851,praised,1,The girl praised the boy because,-87,0,1.207126617,2.03746438,-0.830337763
852,prized,1,The boy prized the girl because,-74,1,1.734126925,1.402747989,-0.331378936
853,prized,1,The girl prized the boy because,-74,0,1.454216242,1.678965807,-0.224749565
854,prosecuted,1,The boy prosecuted the girl because,-44,1,1.428682446,1.879656672,0.450974226
855,prosecuted,1,The girl prosecuted the boy because,-44,0,1.749613881,1.492195725,0.257418156
856,protected,1,The boy protected the girl because,-47,1,1.627790689,1.588518143,-0.039272546
857,protected,1,The girl protected the boy because,-47,0,1.541909218,1.586123943,-0.044214725
858,provoked,1,The boy provoked the girl because,70,1,1.303632379,1.663271308,0.359638929
859,provoked,1,The girl provoked the boy because,70,0,1.460408568,1.367213249,0.093195319
860,punished,1,The boy punished the girl because,-76,1,1.487328529,1.476883054,-0.010445475
861,punished,1,The girl punished the boy because,-76,0,1.285570025,1.672076821,-0.386506796
862,pursued,1,The boy pursued the girl because,31,1,1.448640227,1.474726677,0.02608645
863,pursued,1,The girl pursued the boy because,31,0,1.452501535,1.378876448,0.073625087
864,questioned,1,The boy questioned the girl because,26,1,1.657565951,1.593406796,-0.064159155
865,questioned,1,The girl questioned the boy because,26,0,1.552962184,1.667709112,-0.114746928
866,reassured,1,The boy reassured the girl because,-62,1,1.54998827,1.954865694,0.404877424
867,reassured,1,The girl reassured the boy because,-62,0,1.754607677,1.589999795,0.164607882
868,rebuked,1,The boy rebuked the girl because,-18,1,1.624240637,1.490099669,-0.134140968
869,rebuked,1,The girl rebuked the boy because,-18,0,1.292915702,1.885823846,-0.592908144
870,relaxed,1,The boy relaxed the girl because,19,1,1.627816558,1.635719538,0.00790298
871,relaxed,1,The girl relaxed the boy because,19,0,1.541589379,1.766691208,-0.225101829
872,relished,1,The boy relished the girl because,-47,1,1.728823543,1.404043317,-0.324780226
873,relished,1,The girl relished the boy because,-47,0,1.427435279,1.736321568,-0.308886289
874,repaid,1,The boy repaid the girl because,63,1,1.448235154,1.518459082,0.070223928
875,repaid,1,The girl repaid the boy because,63,0,1.450009465,1.483448386,-0.033438921
876,repelled,1,The boy repelled the girl because,67,1,1.535705328,1.721644759,0.185939431
877,repelled,1,The girl repelled the boy because,67,0,1.567627311,1.589233994,-0.021606683
878,reprimanded,1,The boy reprimanded the girl because,-50,1,1.61572504,1.459867477,-0.155857563
879,reprimanded,1,The girl reprimanded the boy because,-50,0,1.286693454,1.816972256,-0.530278802
880,repulsed,1,The boy repulsed the girl because,76,1,1.462881565,1.640950918,0.178069353
881,repulsed,1,The girl repulsed the boy because,76,0,1.392241836,1.658113241,-0.265871405
882,resented,1,The boy resented the girl because,-76,1,1.532515049,1.503324747,-0.029190302
883,resented,1,The girl resented the boy because,-76,0,1.451360703,1.572491646,-0.121130943
884,respected,1,The boy respected the girl because,-91,1,1.490132213,1.503824711,0.013692498
885,respected,1,The girl respected the boy because,-91,0,1.354109168,1.584164143,-0.230054975
886,revered,1,The boy revered the girl because,-57,1,1.62821877,1.689587712,0.061368942
887,revered,1,The girl revered the boy because,-57,0,1.54503274,1.726558328,-0.181525588
888,revitalized,1,The boy revitalized the girl because,3,1,1.825003862,1.744763613,-0.080240249
889,revitalized,1,The girl revitalized the boy because,3,0,1.692749619,1.772318363,-0.079568744
890,revolted,1,The boy revolted the girl because,66,1,1.450036883,1.576395869,0.126358986
891,revolted,1,The girl revolted the boy because,66,0,1.467092752,1.603005886,-0.135913134
892,rewarded,1,The boy rewarded the girl because,-85,1,1.436667204,1.413695812,-0.022971392
893,rewarded,1,The girl rewarded the boy because,-85,0,1.27216959,1.573439121,-0.301269531
894,ridiculed,1,The boy ridiculed the girl because,-58,1,1.759898186,1.348845959,-0.411052227
895,ridiculed,1,The girl ridiculed the boy because,-58,0,1.272232771,1.795764446,-0.523531675
896,rushed to,1,The boy rushed to the girl because,-32,1,1.530120015,1.579673052,0.049553037
897,rushed to,1,The girl rushed to the boy because,-32,0,1.526741982,1.479863644,0.046878338
898,saluted,1,The boy saluted the girl because,-48,1,1.574244976,1.596126556,0.02188158
899,saluted,1,The girl saluted the boy because,-48,0,1.294130445,1.938077688,-0.643947243
900,scared,1,The boy scared the girl because,74,1,1.485898376,1.422267437,-0.063630939
901,scared,1,The girl scared the boy because,74,0,1.201246738,1.757777095,-0.556530357
902,scolded,1,The boy scolded the girl because,-69,1,1.67021215,1.455929875,-0.214282275
903,scolded,1,The girl scolded the boy because,-69,0,1.246011615,1.893513799,-0.647502184
904,scorned,1,The boy scorned the girl because,-49,1,1.627143979,1.407710671,-0.219433308
905,scorned,1,The girl scorned the boy because,-49,0,1.25367558,1.764153004,-0.510477424
906,shadowed,1,The boy shadowed the girl because,58,1,1.707493424,1.92125833,0.213764906
907,shadowed,1,The girl shadowed the boy because,58,0,1.783592463,1.736328959,0.047263504
908,shocked,1,The boy shocked the girl because,56,1,1.299244761,1.824185252,0.524940491
909,shocked,1,The girl shocked the boy because,56,0,1.443924189,1.584228992,-0.140304803
910,shook,1,The boy shook the girl because,-47,1,1.507529259,1.565964818,0.058435559
911,shook,1,The girl shook the boy because,-47,0,1.277380109,1.96422112,-0.686841011
912,snubbed,1,The boy snubbed the girl because,20,1,1.398437858,1.672586441,0.274148583
913,snubbed,1,The girl snubbed the boy because,20,0,1.355116367,1.613326907,-0.25821054
914,staggered,1,The boy staggered the girl because,64,1,1.542625904,1.796125531,0.253499627
915,staggered,1,The girl staggered the boy because,64,0,1.481359363,1.881074548,-0.399715185
916,startled,1,The boy startled the girl because,35,1,1.432343245,1.709221482,0.276878237
917,startled,1,The girl startled the boy because,35,0,1.45249176,1.672717571,-0.220225811
918,stimulated,1,The boy stimulated the girl because,30,1,1.481061459,1.700120568,0.219059109
919,stimulated,1,The girl stimulated the boy because,30,0,1.461495399,1.566446185,-0.104950786
920,struck,1,The boy struck the girl because,-8,1,1.447107077,1.661003947,0.21389687
921,struck,1,The girl struck the boy because,-8,0,1.373211384,1.78331697,-0.410105586
922,sued,1,The boy sued the girl because,-77,1,1.33592236,1.814755082,0.478832722
923,sued,1,The girl sued the boy because,-77,0,1.416083455,1.621251941,-0.205168486
924,supported,1,The boy supported the girl because,-29,1,1.382720351,1.959679365,0.576959014
925,supported,1,The girl supported the boy because,-29,0,1.745087028,1.354771733,0.390315295
926,surprised,1,The boy surprised the girl because,10,1,1.422947645,1.637306809,0.214359164
927,surprised,1,The girl surprised the boy because,10,0,1.454401135,1.571569324,-0.117168189
928,tailed,1,The boy tailed the girl because,58,1,1.508817911,1.814567327,0.305749416
929,tailed,1,The girl tailed the boy because,58,0,1.591277599,1.574778318,0.016499281
930,telephoned,1,The boy telephoned the girl because,82,1,1.281671405,1.848206997,0.566535592
931,telephoned,1,The girl telephoned the boy because,82,0,1.680887818,1.369073749,0.311814069
932,thanked,1,The boy thanked the girl because,-92,1,1.626782537,1.298920393,-0.327862144
933,thanked,1,The girl thanked the boy because,-92,0,1.179337025,1.712301493,-0.532964468
934,tolerated,1,The boy tolerated the girl because,4,1,1.575776339,1.311368942,-0.264407397
935,tolerated,1,The girl tolerated the boy because,4,0,1.409772396,1.42490685,-0.015134454
936,took away,1,The boy took away the girl because,-50,1,1.440537333,1.581876874,0.141339541
937,took away,1,The girl took away the boy because,-50,0,1.394924879,1.551618814,-0.156693935
938,tormented,1,The boy tormented the girl because,45,1,1.557220101,1.668070555,0.110850454
939,tormented,1,The girl tormented the boy because,45,0,1.54393971,1.656573176,-0.112633466
940,tracked,1,The boy tracked the girl because,36,1,1.663967371,1.577420235,-0.086547136
941,tracked,1,The girl tracked the boy because,36,0,1.512980461,1.646229744,-0.133249283
942,trailed,1,The boy trailed the girl because,66,1,1.57742393,1.794039369,0.216615439
943,trailed,1,The girl trailed the boy because,66,0,1.60140729,1.683023453,-0.081616163
944,treasured,1,The boy treasured the girl because,-76,1,1.926170349,1.363531232,-0.562639117
945,treasured,1,The girl treasured the boy because,-76,0,1.343902707,1.953486323,-0.609583616
946,troubled,1,The boy troubled the girl because,68,1,1.490030885,1.831013322,0.340982437
947,troubled,1,The girl troubled the boy because,68,0,1.631326556,1.619648218,0.011678338
948,trusted,1,The boy trusted the girl because,-49,1,1.579563975,1.447338343,-0.132225632
949,trusted,1,The girl trusted the boy because,-49,0,1.462867856,1.467787862,-0.004920006
950,unnerved,1,The boy unnerved the girl because,70,1,1.492179871,1.827680826,0.335500955
951,unnerved,1,The girl unnerved the boy because,70,0,1.669741154,1.607277155,0.062463999
952,unsettled,1,The boy unsettled the girl because,62,1,1.682010412,1.792464495,0.110454083
953,unsettled,1,The girl unsettled the boy because,62,0,1.659674287,1.742446184,-0.082771897
954,uplifted,1,The boy uplifted the girl because,-1,1,1.682780147,1.836282134,0.153501987
955,uplifted,1,The girl uplifted the boy because,-1,0,1.617698312,1.75579071,-0.138092398
956,upset,1,The boy upset the girl because,66,1,1.346737981,1.652971625,0.306233644
957,upset,1,The girl upset the boy because,66,0,1.364950418,1.593596578,-0.22864616
958,valued,1,The boy valued the girl because,-98,1,1.907886267,1.354911208,-0.552975059
959,valued,1,The girl valued the boy because,-98,0,1.329042196,1.764100552,-0.435058356
960,venerated,1,The boy venerated the girl because,-32,1,1.675076127,1.709043384,0.033967257
961,venerated,1,The girl venerated the boy because,-32,0,1.781063318,1.580737948,0.20032537
962,victimized,1,The boy victimized the girl because,15,1,1.259085536,1.875768423,0.616682887
963,victimized,1,The girl victimized the boy because,15,0,1.524803281,1.479774117,0.045029164
964,vilified,1,The boy vilified the girl because,26,1,1.594338775,1.678860545,0.08452177
965,vilified,1,The girl vilified the boy because,26,0,1.524782538,1.71862483,-0.193842292
966,visited,1,The boy visited the girl because,-45,1,1.420019388,1.718779564,0.298760176
967,visited,1,The girl visited the boy because,-45,0,1.81411171,1.250118732,0.563992978
968,wanted,1,The boy wanted the girl because,-26,1,1.375825882,1.388924122,0.01309824
969,wanted,1,The girl wanted the boy because,-26,0,1.510016918,1.214702129,0.295314789
970,warned,1,The boy warned the girl because,-17,1,1.710200906,1.886333227,0.176132321
971,warned,1,The girl warned the boy because,-17,0,1.831708074,1.756321907,0.075386167
972,welcomed,1,The boy welcomed the girl because,-17,1,1.457261801,1.706292748,0.249030947
973,welcomed,1,The girl welcomed the boy because,-17,0,1.53539753,1.413969517,0.121428013
974,worried,1,The boy worried the girl because,76,1,1.633779883,1.525846481,-0.107933402
975,worried,1,The girl worried the boy because,76,0,1.481258154,1.679294109,-0.198035955
976,worried about,1,The boy worried about the girl because,-71,1,1.740727544,1.508262038,-0.232465506
977,worried about,1,The girl worried about the boy because,-71,0,1.517815232,1.635280728,-0.117465496
978,worshipped,1,The boy worshipped the girl because,-54,1,1.660494566,1.598503709,-0.061990857
979,worshipped,1,The girl worshipped the boy because,-54,0,1.650287628,1.540075541,0.110212087
980,wounded,1,The boy wounded the girl because,33,1,1.364700556,1.782896399,0.418195843
981,wounded,1,The girl wounded the boy because,33,0,1.419110298,1.7408638,-0.321753502
982,yelled at,1,The boy yelled at the girl because,-57,1,1.563968897,1.312571526,-0.251397371
983,yelled at,1,The girl yelled at the boy because,-57,0,1.135702133,1.765879512,-0.630177379
984,abandoned,2,The father abandoned the mother because,33,1,1.721655726,1.739321709,0.017665983
985,abandoned,2,The mother abandoned the father because,33,0,1.837754011,1.558751345,0.279002666
986,acclaimed,2,The father acclaimed the mother because,-58,1,1.920064449,1.781366467,-0.138697982
987,acclaimed,2,The mother acclaimed the father because,-58,0,1.529920578,2.076737404,-0.546816826
988,accompanied,2,The father accompanied the mother because,-48,1,1.69616127,2.094280481,0.398119211
989,accompanied,2,The mother accompanied the father because,-48,0,2.07531929,1.530907273,0.544412017
990,accused,2,The father accused the mother because,2,1,1.92942965,1.882237554,-0.047192096
991,accused,2,The mother accused the father because,2,0,1.729423404,2.069305182,-0.339881778
992,admired,2,The father admired the mother because,-92,1,2.126954079,1.221582294,-0.905371785
993,admired,2,The mother admired the father because,-92,0,1.255396366,2.009203196,-0.75380683
994,admonished,2,The father admonished the mother because,-32,1,2.085956097,2.057062864,-0.028893233
995,admonished,2,The mother admonished the father because,-32,0,1.89883399,2.114282846,-0.215448856
996,adored,2,The father adored the mother because,-74,1,2.185158491,1.430394173,-0.754764318
997,adored,2,The mother adored the father because,-74,0,1.318328261,1.922639489,-0.604311228
998,advised,2,The father advised the mother because,-28,1,1.919071794,2.38471818,0.465646386
999,advised,2,The mother advised the father because,-28,0,2.359397888,1.911505699,0.447892189
1000,affected,2,The father affected the mother because,29,1,1.927375913,2.107602596,0.180226683
1001,affected,2,The mother affected the father because,29,0,2.245833158,1.883871675,0.361961483
1002,aggravated,2,The father aggravated the mother because,59,1,1.580810547,1.92279458,0.341984033
1003,aggravated,2,The mother aggravated the father because,59,0,1.80235815,1.825274467,-0.022916317
1004,agitated,2,The father agitated the mother because,85,1,1.836752653,1.729600668,-0.107151985
1005,agitated,2,The mother agitated the father because,85,0,1.610967517,1.845293164,-0.234325647
1006,alarmed,2,The father alarmed the mother because,58,1,1.614786744,2.186297417,0.571510673
1007,alarmed,2,The mother alarmed the father because,58,0,1.923404574,1.749242544,0.17416203
1008,alienated,2,The father alienated the mother because,41,1,1.556081891,2.103685617,0.547603726
1009,alienated,2,The mother alienated the father because,41,0,1.905687571,1.581512809,0.324174762
1010,amazed,2,The father amazed the mother because,68,1,1.63664186,1.854435325,0.217793465
1011,amazed,2,The mother amazed the father because,68,0,1.508979321,1.906041741,-0.39706242
1012,amused,2,The father amused the mother because,67,1,1.642253995,1.927343488,0.285089493
1013,amused,2,The mother amused the father because,67,0,1.619914174,1.823970914,-0.20405674
1014,angered,2,The father angered the mother because,85,1,1.518179536,1.857202649,0.339023113
1015,angered,2,The mother angered the father because,85,0,1.597019911,1.64956677,-0.052546859
1016,annoyed,2,The father annoyed the mother because,79,1,1.605310559,1.743876219,0.13856566
1017,annoyed,2,The mother annoyed the father because,79,0,1.503314614,1.740436077,-0.237121463
1018,answered,2,The father answered the mother because,-64,1,1.569766283,1.868185163,0.29841888
1019,answered,2,The mother answered the father because,-64,0,1.902038097,1.504018068,0.398020029
1020,apologized to,2,The father apologized to the mother because,93,1,1.478390694,2.134027243,0.655636549
1021,apologized to,2,The mother apologized to the father because,93,0,1.942923784,1.572519898,0.370403886
1022,appalled,2,The father appalled the mother because,78,1,1.575253248,2.092841387,0.517588139
